Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2016-03-14,PLD,BUY,42.41119438934326,117,4962.109743553161,95037.89025644684,,0.0,,Div in 2 days
2016-03-14,MA,BUY,88.91443774795532,56,4979.208513885498,90058.68174256134,,0.0,,Div in 23 days
2016-03-14,MDLZ,BUY,42.26112167930603,118,4986.812358158111,85071.86938440322,,0.0,,Div in 15 days
2016-03-14,ITW,BUY,98.0890209159851,50,4904.451045799256,80167.41833860397,,0.0,,Div in 15 days
2016-03-14,SYK,BUY,105.24259744262694,47,4946.402079803466,75221.0162588005,,0.0,,Div in 15 days
2016-03-14,CMCSA,BUY,27.769265954017637,180,4998.4678717231745,70222.54838707733,,0.0,,Div in 21 days
2016-03-14,EOG,BUY,74.81738877868652,66,4937.9476593933105,65284.600727684025,,0.0,,Div in 30 days
2016-03-14,DE,BUY,81.89092347335814,61,4995.346331874846,60289.25439580918,,0.0,,Div in 15 days
2016-03-14,ABBV,BUY,57.23860408401489,87,4979.758555309295,55309.49584049988,,0.0,,Div in 30 days
2016-03-14,USB,BUY,40.51024667930603,123,4982.760341554642,50326.73549894524,,0.0,,Div in 15 days
2016-03-14,MDT,BUY,77.56876377868652,64,4964.400881835937,45362.33461710931,,0.0,,Div in 8 days
2016-03-14,CB,BUY,119.7998678627014,41,4911.794582370758,40450.54003473855,,0.0,,Div in 15 days
2016-03-14,INTU,BUY,99.47971530532837,50,4973.985765266419,35476.55426947213,,0.0,,Div in 24 days
2016-03-14,SRE,BUY,50.060017347335815,99,4955.941717386246,30520.612552085884,,0.0,,Div in 8 days
2016-03-14,ORCL,BUY,38.71935076332092,129,4994.7962484683985,25525.816303617485,,0.0,,Div in 29 days
2016-03-14,GD,BUY,134.2771117172241,37,4968.253133537291,20557.563170080193,,0.0,,Div in 23 days
2016-03-14,PNC,BUY,85.86290969467163,58,4980.048762290954,15577.51440778924,,0.0,,Div in 30 days
2016-03-14,O,BUY,57.92623410415649,86,4981.656132957458,10595.858274831782,,0.0,,Div in 16 days
2016-03-14,MRSH,BUY,58.859416831970215,84,4944.191013885498,5651.667260946284,,0.0,,Div in 23 days
2016-03-14,CSCO,BUY,27.71385076332092,180,4988.493137397765,663.1741235485188,,0.0,,Div in 21 days
2016-03-16,PLD,DIVIDEND,0.42,117,49.14,712.3141235485188,,49.14,49.14,Dividend Payment
2016-03-22,MDT,DIVIDEND,0.38,64,24.32,736.6341235485188,,24.32,24.32,Dividend Payment
2016-03-22,SRE,DIVIDEND,0.3775,99,37.3725,774.0066235485187,,37.3725,37.3725,Dividend Payment
2016-03-29,MDLZ,DIVIDEND,0.17,118,20.060000000000002,794.0666235485187,,20.060000000000002,20.060000000000002,Dividend Payment
2016-03-29,ITW,DIVIDEND,0.55,50,27.500000000000004,821.5666235485187,,27.500000000000004,27.500000000000004,Dividend Payment
2016-03-29,SYK,DIVIDEND,0.38,47,17.86,839.4266235485187,,17.86,17.86,Dividend Payment
2016-03-29,DE,DIVIDEND,0.6,61,36.6,876.0266235485187,,36.6,36.6,Dividend Payment
2016-03-29,USB,DIVIDEND,0.255,123,31.365000000000002,907.3916235485187,,31.365000000000002,31.365000000000002,Dividend Payment
2016-03-29,CB,DIVIDEND,0.67,41,27.470000000000002,934.8616235485188,,27.470000000000002,27.470000000000002,Dividend Payment
2016-03-30,O,DIVIDEND,0.192829,86,16.583294,951.4449175485188,,16.583294,16.583294,Dividend Payment
2016-04-04,CMCSA,DIVIDEND,0.128866,180,23.195880000000002,974.6407975485188,,23.195880000000002,23.195880000000002,Dividend Payment
2016-04-04,CSCO,DIVIDEND,0.26,180,46.800000000000004,1021.4407975485187,,46.800000000000004,46.800000000000004,Dividend Payment
2016-04-06,MA,DIVIDEND,0.19,56,10.64,1032.0807975485188,,10.64,10.64,Dividend Payment
2016-04-06,GD,DIVIDEND,0.76,37,28.12,1060.2007975485187,,28.12,28.12,Dividend Payment
2016-04-06,MRSH,DIVIDEND,0.31,84,26.04,1086.2407975485187,,26.04,26.04,Dividend Payment
2016-04-07,INTU,DIVIDEND,0.3,50,15.0,1101.2407975485187,,15.0,15.0,Dividend Payment
2016-04-12,ORCL,DIVIDEND,0.15,129,19.349999999999998,1120.5907975485186,,19.349999999999998,19.349999999999998,Dividend Payment
2016-04-13,EOG,DIVIDEND,0.168,66,11.088000000000001,1131.6787975485186,,11.088000000000001,11.088000000000001,Dividend Payment
2016-04-13,ABBV,DIVIDEND,0.57,87,49.589999999999996,1181.2687975485185,,49.589999999999996,49.589999999999996,Dividend Payment
2016-04-13,PNC,DIVIDEND,0.51,58,29.580000000000002,1210.8487975485184,,29.580000000000002,29.580000000000002,Dividend Payment
2016-04-15,PLD,SELL,44.807586830139165,117,5242.487659126282,6453.3364566748005,280.37791557312113,49.14,329.5179155731211,30 days post-div
2016-04-15,BA,BUY,131.1955698852539,39,5116.627225524901,1336.709231149899,,0.0,,Div in 26 days
2016-04-21,MDT,SELL,78.48073664474488,64,5022.767145263672,6359.476376413571,58.36626342773525,24.32,82.68626342773524,30 days post-div
2016-04-21,SRE,SELL,50.20988311004639,99,4970.778427894593,11330.254804308164,14.836710508346997,37.3725,52.209210508347,30 days post-div
2016-04-21,MS,BUY,27.273630228996275,190,5181.989743509293,6148.265060798872,,0.0,,Div in 6 days
2016-04-21,XOM,BUY,86.83339591598511,59,5123.170359043122,1025.09470175575,,0.0,,Div in 20 days
2016-04-27,MS,DIVIDEND,0.15,190,28.5,1053.59470175575,,28.5,28.5,Dividend Payment
2016-04-28,O,DIVIDEND,0.192829,86,16.583294,1070.17799575575,,16.583294,16.583294,Dividend Payment
2016-04-28,ITW,SELL,104.51771469497682,50,5225.885734748841,6296.063730504591,321.43468894958573,27.500000000000004,348.93468894958573,30 days post-div
2016-04-28,DE,SELL,83.8880353050232,61,5117.170153606415,11413.233884111007,121.82382173156816,36.6,158.42382173156815,30 days post-div
2016-04-28,CB,SELL,117.13140744018555,41,4802.387705047608,16215.621589158614,-109.40687732314983,27.470000000000002,-81.93687732314983,30 days post-div
2016-04-28,USB,SELL,43.10843606758118,123,5302.337636312485,21517.9592254711,319.57729475784373,31.365000000000002,350.94229475784374,30 days post-div
2016-04-28,MDLZ,SELL,43.35831106758118,118,5116.280705974579,26634.239931445678,129.46834781646737,20.060000000000002,149.52834781646737,30 days post-div
2016-04-28,SYK,SELL,109.50521755981445,47,5146.74522531128,31780.985156756957,200.34314550781295,17.86,218.20314550781296,30 days post-div
2016-04-28,MSFT,BUY,49.92495152664184,104,5192.194958770751,26588.790197986207,,0.0,,Div in 19 days
2016-04-28,MAR,BUY,69.27461786270142,75,5195.596339702606,21393.1938582836,,0.0,,Div in 20 days
2016-04-28,COF,BUY,73.40668774795532,71,5211.874830104827,16181.319028178774,,0.0,,Div in 14 days
