Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2016-03-14,HBAN,BUY,6.464572528839111,773,4997.114564792632,95002.88543520737,,0.0,,Div in 2 days
2016-03-14,PLD,BUY,31.833003350257872,157,4997.7815259904855,90005.10390921688,,0.0,,Div in 2 days
2016-03-14,NUE,BUY,35.98292158699036,138,4965.643179004669,85039.46073021222,,0.0,,Div in 15 days
2016-03-14,MDLZ,BUY,33.633167890548705,148,4977.708847801208,80061.75188241102,,0.0,,Div in 15 days
2016-03-14,ITW,BUY,77.58635069274902,64,4965.526444335937,75096.22543807508,,0.0,,Div in 15 days
2016-03-14,GL,BUY,50.34417501068115,99,4984.073326057433,70112.15211201765,,0.0,,Div in 17 days
2016-03-14,WTW,BUY,104.86532607650756,47,4928.6703255958555,65183.48178642179,,0.0,,Div in 15 days
2016-03-14,SYY,BUY,35.44687946891784,141,4998.010005117416,60185.471781304375,,0.0,,Div in 16 days
2016-03-14,SYK,BUY,94.08421189498901,53,4986.463230434418,55199.008550869956,,0.0,,Div in 15 days
2016-03-14,DE,BUY,69.33515684509277,72,4992.13129284668,50206.877258023276,,0.0,,Div in 15 days
2016-03-14,A,BUY,36.04531543922424,138,4974.253530612945,45232.62372741033,,0.0,,Div in 18 days
2016-03-14,USB,BUY,28.206395038604736,177,4992.531921833038,40240.09180557729,,0.0,,Div in 15 days
2016-03-14,MDT,BUY,60.16893204116821,83,4994.021359416962,35246.07044616033,,0.0,,Div in 8 days
2016-03-14,DG,BUY,75.24455843353272,66,4966.1408566131595,30279.929589547173,,0.0,,Div in 10 days
2016-03-14,CB,BUY,99.79577596664429,50,4989.788798332214,25290.14079121496,,0.0,,Div in 15 days
2016-03-14,STT,BUY,43.38833295249939,115,4989.6582895374295,20300.48250167753,,0.0,,Div in 16 days
2016-03-14,SRE,BUY,36.57263661575317,136,4973.878579742431,15326.603921935097,,0.0,,Div in 8 days
2016-03-14,KHC,BUY,49.210929685592646,101,4970.303898244857,10356.30002369024,,0.0,,Div in 2 days
2016-03-14,DTE,BUY,53.86711479949951,92,4955.774561553955,5400.525462136286,,0.0,,Div in 3 days
2016-03-14,EIX,BUY,46.42835012626648,107,4967.833463510513,432.6919986257726,,0.0,,Div in 15 days
2016-03-16,HBAN,DIVIDEND,0.07,773,54.11000000000001,486.8019986257726,,54.11000000000001,54.11000000000001,Dividend Payment
2016-03-16,PLD,DIVIDEND,0.42,157,65.94,552.7419986257726,,65.94,65.94,Dividend Payment
2016-03-16,KHC,DIVIDEND,0.575,101,58.074999999999996,610.8169986257726,,58.074999999999996,58.074999999999996,Dividend Payment
2016-03-17,DTE,DIVIDEND,0.621277,92,57.157484,667.9744826257726,,57.157484,57.157484,Dividend Payment
2016-03-22,MDT,DIVIDEND,0.38,83,31.54,699.5144826257725,,31.54,31.54,Dividend Payment
2016-03-22,SRE,DIVIDEND,0.3775,136,51.34,750.8544826257726,,51.34,51.34,Dividend Payment
2016-03-24,DG,DIVIDEND,0.25,66,16.5,767.3544826257726,,16.5,16.5,Dividend Payment
2016-03-29,NUE,DIVIDEND,0.375,138,51.75,819.1044826257726,,51.75,51.75,Dividend Payment
2016-03-29,MDLZ,DIVIDEND,0.17,148,25.16,844.2644826257725,,25.16,25.16,Dividend Payment
2016-03-29,ITW,DIVIDEND,0.55,64,35.2,879.4644826257726,,35.2,35.2,Dividend Payment
2016-03-29,WTW,DIVIDEND,0.48,47,22.56,902.0244826257725,,22.56,22.56,Dividend Payment
2016-03-29,SYK,DIVIDEND,0.38,53,20.14,922.1644826257725,,20.14,20.14,Dividend Payment
2016-03-29,DE,DIVIDEND,0.6,72,43.199999999999996,965.3644826257726,,43.199999999999996,43.199999999999996,Dividend Payment
2016-03-29,USB,DIVIDEND,0.255,177,45.135,1010.4994826257725,,45.135,45.135,Dividend Payment
2016-03-29,CB,DIVIDEND,0.67,50,33.5,1043.9994826257725,,33.5,33.5,Dividend Payment
2016-03-29,EIX,DIVIDEND,0.48,107,51.36,1095.3594826257724,,51.36,51.36,Dividend Payment
2016-03-30,SYY,DIVIDEND,0.31,141,43.71,1139.0694826257725,,43.71,43.71,Dividend Payment
2016-03-30,STT,DIVIDEND,0.34,115,39.1,1178.1694826257724,,39.1,39.1,Dividend Payment
2016-03-31,GL,DIVIDEND,0.14,99,13.860000000000001,1192.0294826257723,,13.860000000000001,13.860000000000001,Dividend Payment
2016-04-01,A,DIVIDEND,0.115,138,15.870000000000001,1207.8994826257722,,15.870000000000001,15.870000000000001,Dividend Payment
2016-05-16,DTE,SELL,55.99340118980408,92,5151.392909461975,6359.292392087747,195.61834790802055,57.157484,252.77583190802056,60 days post-div
2016-05-16,HBAN,SELL,6.5319663574695594,773,5049.209994323969,11408.502386411717,52.095429531336876,54.11000000000001,106.20542953133688,60 days post-div
2016-05-16,PLD,SELL,36.438737916946415,157,5720.881852960587,17129.384239372303,723.1003269701013,65.94,789.0403269701012,60 days post-div
2016-05-16,IRM,BUY,22.086389390945435,241,5322.81984321785,11806.564396154452,,0.0,,Div in 17 days
2016-05-16,BLK,BUY,274.8079285583496,19,5221.350642608642,6585.21375354581,,0.0,,Div in 17 days
2016-05-16,MSFT,BUY,45.627454730987544,116,5292.7847487945555,1292.429004751254,,0.0,,Div in 1 days
2016-05-17,MSFT,DIVIDEND,0.36,116,41.76,1334.189004751254,,41.76,41.76,Dividend Payment
2016-05-23,SRE,SELL,37.82127460479737,136,5143.693346252442,6477.882351003696,169.81476651001094,51.34,221.15476651001094,60 days post-div
2016-05-23,DG,SELL,71.3595965423584,66,4709.733371795654,11187.61572279935,-256.4074848175047,16.5,-239.90748481750472,60 days post-div
2016-05-23,MDT,SELL,62.57254176712036,83,5193.52096667099,16381.136689470339,199.49960725402855,31.54,231.03960725402854,60 days post-div
2016-05-23,PLD,BUY,35.29955471420288,148,5224.334097702026,11156.802591768312,,0.0,,Div in 17 days
2016-05-23,ALL,BUY,53.6964095249176,97,5208.551723917007,5948.250867851305,,0.0,,Div in 9 days
2016-05-23,ROST,BUY,47.52903599739074,110,5228.193959712981,720.0569081383237,,0.0,,Div in 11 days
2016-05-25,KHC,DIVIDEND,0.575,101,58.074999999999996,778.1319081383238,,58.074999999999996,58.074999999999996,Dividend Payment
2016-05-31,GL,SELL,56.81078327941895,99,5624.267544662476,6402.3994528008,640.1942186050422,13.860000000000001,654.0542186050423,60 days post-div
2016-05-31,A,SELL,42.47178784561157,138,5861.106722694397,12263.506175495197,886.853192081452,15.870000000000001,902.723192081452,60 days post-div
2016-05-31,SYK,SELL,99.68510260772706,53,5283.310438209534,17546.81661370473,296.84720777511666,20.14,316.98720777511664,60 days post-div
2016-05-31,STT,SELL,47.59894557952881,115,5473.8787416458135,23020.695355350545,484.22045210838326,39.1,523.3204521083833,60 days post-div
2016-05-31,CB,SELL,106.01180980300904,50,5300.590490150452,28321.285845500995,310.80169181823794,33.5,344.30169181823794,60 days post-div
2016-05-31,DE,SELL,70.1633108291626,72,5051.758379699707,33373.044225200705,59.62708685302766,43.199999999999996,102.82708685302765,60 days post-div
2016-05-31,USB,SELL,29.987636544227602,177,5307.811668328285,38680.85589352899,315.27974649524725,45.135,360.41474649524724,60 days post-div
2016-05-31,MDLZ,SELL,35.542492080688476,148,5260.288827941895,43941.14472147089,282.579980140686,25.16,307.73998014068604,60 days post-div
2016-05-31,WTW,SELL,111.62965072250367,47,5246.593583957672,49187.73830542856,317.92325836181726,22.56,340.48325836181726,60 days post-div
2016-05-31,SYY,SELL,37.44734285926819,141,5280.075343156815,54467.813648585376,282.06533803939897,43.71,325.77533803939895,60 days post-div
2016-05-31,ITW,SELL,84.28273531723023,64,5394.095060302735,59861.90870888811,428.56861596679755,35.2,463.76861596679754,60 days post-div
2016-05-31,EIX,SELL,47.68818774032593,107,5102.636088214875,64964.544797102986,134.8026247043611,51.36,186.16262470436112,60 days post-div
2016-05-31,NUE,SELL,38.93363318634034,138,5372.841379714967,70337.38617681795,407.19820071029716,51.75,458.94820071029716,60 days post-div
2016-05-31,HBAN,BUY,6.986436914920806,770,5379.556424489021,64957.82975232893,,0.0,,Div in 15 days
2016-05-31,BF-B,BUY,32.67070798873901,164,5357.996110153198,59599.833642175734,,0.0,,Div in 2 days
2016-05-31,TXT,BUY,37.558938846588134,143,5370.928255062103,54228.90538711363,,0.0,,Div in 8 days
2016-05-31,PFG,BUY,30.733825037956237,175,5378.419381642341,48850.486005471284,,0.0,,Div in 2 days
2016-05-31,LRCX,BUY,7.214740000963211,746,5382.196040718555,43468.28996475273,,0.0,,Div in 6 days
2016-05-31,TPR,BUY,29.815637749671936,180,5366.814794940949,38101.47516981178,,0.0,,Div in 1 days
2016-05-31,ICE,BUY,47.93787450027465,112,5369.041944030761,32732.433225781024,,0.0,,Div in 14 days
2016-05-31,TAP,BUY,77.12395377731323,69,5321.552810634613,27410.88041514641,,0.0,,Div in 2 days
2016-05-31,OMC,BUY,59.16181023216247,90,5324.562920894623,22086.317494251787,,0.0,,Div in 9 days
2016-05-31,TT,BUY,44.279968122482295,121,5357.876142820358,16728.44135143143,,0.0,,Div in 8 days
2016-05-31,EXR,BUY,64.51898348236084,83,5355.0756290359495,11373.36572239548,,0.0,,Div in 13 days
2016-05-31,TROW,BUY,54.16996619224548,99,5362.826653032303,6010.539069363177,,0.0,,Div in 13 days
2016-05-31,OXY,BUY,56.876904464721676,94,5346.429019683837,664.1100496793397,,0.0,,Div in 8 days
2016-06-01,ALL,DIVIDEND,0.33,97,32.01,696.1200496793397,,32.01,32.01,Dividend Payment
2016-06-01,TPR,DIVIDEND,0.338,180,60.84,756.9600496793397,,60.84,60.84,Dividend Payment
2016-06-02,IRM,DIVIDEND,0.485,241,116.88499999999999,873.8450496793397,,116.88499999999999,116.88499999999999,Dividend Payment
2016-06-02,BLK,DIVIDEND,2.29,19,43.51,917.3550496793397,,43.51,43.51,Dividend Payment
2016-06-02,BF-B,DIVIDEND,0.136,164,22.304000000000002,939.6590496793397,,22.304000000000002,22.304000000000002,Dividend Payment
2016-06-02,PFG,DIVIDEND,0.39,175,68.25,1007.9090496793397,,68.25,68.25,Dividend Payment
2016-06-02,TAP,DIVIDEND,0.41,69,28.29,1036.1990496793396,,28.29,28.29,Dividend Payment
2016-06-03,ROST,DIVIDEND,0.135,110,14.850000000000001,1051.0490496793395,,14.850000000000001,14.850000000000001,Dividend Payment
2016-06-06,LRCX,DIVIDEND,0.03,746,22.38,1073.4290496793396,,22.38,22.38,Dividend Payment
2016-06-08,TXT,DIVIDEND,0.02,143,2.86,1076.2890496793395,,2.86,2.86,Dividend Payment
2016-06-08,TT,DIVIDEND,0.248254,121,30.038734,1106.3277836793395,,30.038734,30.038734,Dividend Payment
2016-06-08,OXY,DIVIDEND,0.75,94,70.5,1176.8277836793395,,70.5,70.5,Dividend Payment
2016-06-09,PLD,DIVIDEND,0.42,148,62.16,1238.9877836793396,,62.16,62.16,Dividend Payment
2016-06-09,OMC,DIVIDEND,0.55,90,49.50000000000001,1288.4877836793396,,49.50000000000001,49.50000000000001,Dividend Payment
2016-06-13,EXR,DIVIDEND,0.78,83,64.74000000000001,1353.2277836793396,,64.74000000000001,64.74000000000001,Dividend Payment
2016-06-13,TROW,DIVIDEND,0.54,99,53.46,1406.6877836793396,,53.46,53.46,Dividend Payment
2016-06-14,ICE,DIVIDEND,0.17,112,19.040000000000003,1425.7277836793396,,19.040000000000003,19.040000000000003,Dividend Payment
2016-06-15,HBAN,DIVIDEND,0.07,770,53.900000000000006,1479.6277836793397,,53.900000000000006,53.900000000000006,Dividend Payment
2016-07-18,MSFT,SELL,47.78698856544495,116,5543.290673591614,7022.918457270954,250.5059247970591,41.76,292.2659247970591,60 days post-div
2016-07-18,MS,BUY,21.387861056327818,259,5539.456013588905,1483.4624436820486,,0.0,,Div in 9 days
2016-07-25,KHC,SELL,56.837183036804205,101,5740.555486717225,7224.017930399274,770.2515884723675,116.14999999999999,886.4015884723675,60 days post-div
2016-07-25,BA,BUY,121.37049225997924,46,5583.042643959046,1640.975286440228,,0.0,,Div in 16 days
2016-07-27,MS,DIVIDEND,0.2,259,51.800000000000004,1692.775286440228,,51.800000000000004,51.800000000000004,Dividend Payment
2016-08-01,BLK,SELL,289.21707449340823,19,5495.124415374757,7187.899701814985,273.773772766114,43.51,317.283772766114,60 days post-div
2016-08-01,BF-B,SELL,32.63882760429382,164,5352.767727104187,12540.667428919172,-5.228383049010802,22.304000000000002,17.0756169509892,60 days post-div
2016-08-01,PFG,SELL,32.13727034187317,175,5624.022309827805,18164.689738746976,245.60292818546313,68.25,313.85292818546316,60 days post-div
2016-08-01,IRM,SELL,24.105540687561035,241,5809.43530570221,23974.125044449185,486.6154624843597,116.88499999999999,603.5004624843597,60 days post-div
2016-08-01,TPR,SELL,33.122480005264286,180,5962.046400947572,29936.171445396758,595.2316060066231,60.84,656.0716060066231,60 days post-div
2016-08-01,ALL,SELL,55.12331490516663,97,5346.961545801163,35283.13299119792,138.4098218841561,32.01,170.41982188415608,60 days post-div
2016-08-01,TAP,SELL,78.65983863830567,69,5427.5288660430915,40710.66185724101,105.97605540847832,28.29,134.2660554084783,60 days post-div
2016-08-01,XOM,BUY,56.033366146087644,99,5547.3032484626765,35163.35860877833,,0.0,,Div in 9 days
2016-08-01,MSFT,BUY,50.157390380859376,111,5567.47033227539,29595.88827650294,,0.0,,Div in 15 days
2016-08-01,CNP,BUY,17.360598950386045,321,5572.75226307392,24023.136013429023,,0.0,,Div in 11 days
2016-08-01,STZ,BUY,141.20186753082274,39,5506.872833702087,18516.263179726935,,0.0,,Div in 7 days
2016-08-01,ADM,BUY,33.16286297035217,168,5571.360979019165,12944.90220070777,,0.0,,Div in 14 days
2016-08-01,COF,BUY,56.43959790802002,98,5531.080594985962,7413.821605721807,,0.0,,Div in 3 days
2016-08-01,LLY,BUY,70.93726823043824,78,5533.106921974182,1880.7146837476248,,0.0,,Div in 10 days
2016-08-02,ROST,SELL,55.1229488773346,110,6063.524376506806,7944.239060254431,835.3304167938244,14.850000000000001,850.1804167938244,60 days post-div
2016-08-02,MET,BUY,27.067220618247983,204,5521.713006122589,2422.526054131842,,0.0,,Div in 2 days
2016-08-04,COF,DIVIDEND,0.4,98,39.2,2461.726054131842,,39.2,39.2,Dividend Payment
2016-08-04,MET,DIVIDEND,0.356506,204,72.72722399999999,2534.453278131842,,72.72722399999999,72.72722399999999,Dividend Payment
2016-08-05,LRCX,SELL,8.14560529756546,746,6076.621551983833,8611.074830115675,694.4255112652779,22.38,716.8055112652779,60 days post-div
2016-08-05,NVDA,BUY,1.4291568186879158,3922,5605.153042894006,3005.9217872216686,,0.0,,Div in 18 days
