Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2016-03-14,HBAN,BUY,6.464572528839111,773,4997.114564792632,95002.88543520737,,0.0,,Div in 2 days
2016-03-14,PLD,BUY,31.833003350257872,157,4997.7815259904855,90005.10390921688,,0.0,,Div in 2 days
2016-03-14,NUE,BUY,35.98292158699036,138,4965.643179004669,85039.46073021222,,0.0,,Div in 15 days
2016-03-14,MDLZ,BUY,33.633167890548705,148,4977.708847801208,80061.75188241102,,0.0,,Div in 15 days
2016-03-14,ITW,BUY,77.58635069274902,64,4965.526444335937,75096.22543807508,,0.0,,Div in 15 days
2016-03-14,WTW,BUY,104.86532607650756,47,4928.6703255958555,70167.55511247923,,0.0,,Div in 15 days
2016-03-14,SYK,BUY,94.08421189498901,53,4986.463230434418,65181.091882044806,,0.0,,Div in 15 days
2016-03-14,DE,BUY,69.33515684509277,72,4992.13129284668,60188.96058919813,,0.0,,Div in 15 days
2016-03-14,USB,BUY,28.206395038604736,177,4992.531921833038,55196.428667365086,,0.0,,Div in 15 days
2016-03-14,MDT,BUY,60.16893204116821,83,4994.021359416962,50202.407307948124,,0.0,,Div in 8 days
2016-03-14,DG,BUY,75.24455843353272,66,4966.1408566131595,45236.26645133497,,0.0,,Div in 10 days
2016-03-14,CB,BUY,99.79577596664429,50,4989.788798332214,40246.47765300275,,0.0,,Div in 15 days
2016-03-14,SRE,BUY,36.57263661575317,136,4973.878579742431,35272.599073260324,,0.0,,Div in 8 days
2016-03-14,KHC,BUY,49.210929685592646,101,4970.303898244857,30302.295175015468,,0.0,,Div in 2 days
2016-03-14,DTE,BUY,53.86711479949951,92,4955.774561553955,25346.520613461515,,0.0,,Div in 3 days
2016-03-14,EIX,BUY,46.42835012626648,107,4967.833463510513,20378.687149951,,0.0,,Div in 15 days
2016-03-14,ZBH,BUY,94.07391469573975,53,4985.917478874207,15392.769671076796,,0.0,,Div in 15 days
2016-03-14,ESS,BUY,159.46325196075438,31,4943.360810783386,10449.40886029341,,0.0,,Div in 15 days
2016-03-14,FIS,BUY,52.449364500045775,95,4982.689627504348,5466.719232789062,,0.0,,Div in 1 days
2016-03-14,DHR,BUY,37.61115763092041,132,4964.672807281494,502.0464255075676,,0.0,,Div in 8 days
2016-03-15,FIS,DIVIDEND,0.26,95,24.7,526.7464255075677,,24.7,24.7,Dividend Payment
2016-03-16,HBAN,DIVIDEND,0.07,773,54.11000000000001,580.8564255075677,,54.11000000000001,54.11000000000001,Dividend Payment
2016-03-16,PLD,DIVIDEND,0.42,157,65.94,646.7964255075676,,65.94,65.94,Dividend Payment
2016-03-16,KHC,DIVIDEND,0.575,101,58.074999999999996,704.8714255075677,,58.074999999999996,58.074999999999996,Dividend Payment
2016-03-17,DTE,DIVIDEND,0.621277,92,57.157484,762.0289095075676,,57.157484,57.157484,Dividend Payment
2016-03-22,MDT,DIVIDEND,0.38,83,31.54,793.5689095075676,,31.54,31.54,Dividend Payment
2016-03-22,SRE,DIVIDEND,0.3775,136,51.34,844.9089095075676,,51.34,51.34,Dividend Payment
2016-03-22,DHR,DIVIDEND,0.107539,132,14.195148,859.1040575075676,,14.195148,14.195148,Dividend Payment
2016-03-24,DG,DIVIDEND,0.25,66,16.5,875.6040575075676,,16.5,16.5,Dividend Payment
2016-03-29,NUE,DIVIDEND,0.375,138,51.75,927.3540575075676,,51.75,51.75,Dividend Payment
2016-03-29,MDLZ,DIVIDEND,0.17,148,25.16,952.5140575075676,,25.16,25.16,Dividend Payment
2016-03-29,ITW,DIVIDEND,0.55,64,35.2,987.7140575075676,,35.2,35.2,Dividend Payment
2016-03-29,WTW,DIVIDEND,0.48,47,22.56,1010.2740575075676,,22.56,22.56,Dividend Payment
2016-03-29,SYK,DIVIDEND,0.38,53,20.14,1030.4140575075676,,20.14,20.14,Dividend Payment
2016-03-29,DE,DIVIDEND,0.6,72,43.199999999999996,1073.6140575075676,,43.199999999999996,43.199999999999996,Dividend Payment
2016-03-29,USB,DIVIDEND,0.255,177,45.135,1118.7490575075676,,45.135,45.135,Dividend Payment
2016-03-29,CB,DIVIDEND,0.67,50,33.5,1152.2490575075676,,33.5,33.5,Dividend Payment
2016-03-29,EIX,DIVIDEND,0.48,107,51.36,1203.6090575075675,,51.36,51.36,Dividend Payment
2016-03-29,ZBH,DIVIDEND,0.23301,53,12.34953,1215.9585875075675,,12.34953,12.34953,Dividend Payment
2016-03-29,ESS,DIVIDEND,1.6,31,49.6,1265.5585875075674,,49.6,49.6,Dividend Payment
2016-04-29,FIS,SELL,55.12820671463013,95,5237.1796378898625,6502.73822539743,254.4900103855139,24.7,279.1900103855139,45 days post-div
2016-04-29,BA,BUY,122.07289253997801,42,5127.061486679077,1375.6767387183536,,0.0,,Div in 12 days
2016-05-02,DTE,SELL,55.53128723907471,92,5108.878425994873,6484.555164713227,153.10386444091807,57.157484,210.26134844091808,45 days post-div
2016-05-02,HBAN,SELL,6.805801882505417,773,5260.884855176687,11745.440019889913,263.7702903840547,54.11000000000001,317.8802903840547,45 days post-div
2016-05-02,KHC,SELL,50.77292542266846,101,5128.065467689514,16873.505487579427,157.76156944465697,58.074999999999996,215.83656944465696,45 days post-div
2016-05-02,PLD,SELL,34.86266782569886,157,5473.438848634721,22346.944336214146,475.6573226442346,65.94,541.5973226442346,45 days post-div
2016-05-02,XOM,BUY,57.6826164150238,91,5249.118093767166,17097.82624244698,,0.0,,Div in 9 days
2016-05-02,MSFT,BUY,44.5534621925354,118,5257.308538719177,11840.517703727803,,0.0,,Div in 15 days
2016-05-02,CNP,BUY,15.72915027952194,335,5269.2653436398505,6571.252360087952,,0.0,,Div in 10 days
2016-05-02,STZ,BUY,135.55446821594236,38,5151.06979220581,1420.1825678821424,,0.0,,Div in 4 days
2016-05-06,STZ,DIVIDEND,0.4,38,15.200000000000001,1435.3825678821424,,15.200000000000001,15.200000000000001,Dividend Payment
2016-05-06,SRE,SELL,38.53113601875305,136,5240.234498550415,6675.617066432557,266.3559188079842,51.34,317.6959188079842,45 days post-div
2016-05-06,MDT,SELL,62.13615270996094,83,5157.300674926758,11832.917741359315,163.27931550979636,31.54,194.81931550979635,45 days post-div
2016-05-06,DHR,SELL,39.953352411270146,132,5273.842518287659,17106.760259646973,309.16971100616513,14.195148,323.36485900616515,45 days post-div
2016-05-06,ADM,BUY,28.406909903526305,185,5255.278332152367,11851.481927494606,,0.0,,Div in 10 days
2016-05-06,MAR,BUY,63.06107486915588,83,5234.069214139938,6617.412713354668,,0.0,,Div in 12 days
2016-05-06,COF,BUY,58.09454255104065,90,5228.508829593658,1388.9038837610096,,0.0,,Div in 6 days
2016-05-09,DG,SELL,74.75101216888429,66,4933.566803146363,6322.4706869073725,-32.57405346679636,16.5,-16.074053466796357,45 days post-div
2016-05-09,LLY,BUY,64.0367631225586,82,5251.014576049805,1071.4561108575672,,0.0,,Div in 2 days
2016-05-11,BA,DIVIDEND,1.09,42,45.78,1117.2361108575672,,45.78,45.78,Dividend Payment
2016-05-11,XOM,DIVIDEND,0.75,91,68.25,1185.4861108575672,,68.25,68.25,Dividend Payment
2016-05-11,LLY,DIVIDEND,0.51,82,41.82,1227.306110857567,,41.82,41.82,Dividend Payment
2016-05-12,CNP,DIVIDEND,0.258,335,86.43,1313.7361108575672,,86.43,86.43,Dividend Payment
2016-05-12,COF,DIVIDEND,0.4,90,36.0,1349.7361108575672,,36.0,36.0,Dividend Payment
2016-05-13,ESS,SELL,165.2460862350464,31,5122.628673286438,6472.364784144005,179.26786250305244,49.6,228.86786250305244,45 days post-div
2016-05-13,SYK,SELL,99.46088005828858,53,5271.426643089295,11743.7914272333,284.9634126548772,20.14,305.10341265487716,45 days post-div
2016-05-13,CB,SELL,104.76419631195068,50,5238.2098155975345,16982.001242830833,248.42101726531993,33.5,281.92101726531996,45 days post-div
2016-05-13,DE,SELL,70.31678324890137,72,5062.808393920899,22044.809636751732,70.67710107421954,43.199999999999996,113.87710107421952,45 days post-div
2016-05-13,USB,SELL,29.014191244125367,177,5135.5118502101905,27180.321486961922,142.97992837715174,45.135,188.11492837715173,45 days post-div
2016-05-13,MDLZ,SELL,35.438639308929446,148,5244.918617721558,32425.24010468348,267.2097699203496,25.16,292.3697699203496,45 days post-div
2016-05-13,WTW,SELL,107.22619101715088,47,5039.630977806091,37464.87108248957,110.96065221023625,22.56,133.52065221023625,45 days post-div
2016-05-13,ITW,SELL,81.8582965927124,64,5238.930981933594,42703.80206442316,273.4045375976566,35.2,308.6045375976566,45 days post-div
2016-05-13,EIX,SELL,47.54173847961426,107,5086.966017318726,47790.76808174189,119.13255380821246,51.36,170.49255380821245,45 days post-div
2016-05-13,ZBH,SELL,105.30645129394532,53,5581.241918579101,53372.01000032099,595.3244397048952,12.34953,607.6739697048952,45 days post-div
2016-05-13,NUE,SELL,37.769882009506226,138,5212.243717311859,58584.25371763285,246.60053830718982,51.75,298.3505383071898,45 days post-div
2016-05-13,QCOM,BUY,38.85298154067993,136,5284.00548953247,53300.248228100376,,0.0,,Div in 14 days
2016-05-13,NVDA,BUY,1.0036967641711234,5265,5284.463463360965,48015.78476473941,,0.0,,Div in 11 days
2016-05-13,L,BUY,37.63409924125671,140,5268.7738937759395,42747.010870963466,,0.0,,Div in 14 days
2016-05-13,LHX,BUY,62.80803398323059,84,5275.8748545913695,37471.1360163721,,0.0,,Div in 14 days
2016-05-13,LMT,BUY,185.87832362365722,28,5204.593061462402,32266.542954909695,,0.0,,Div in 14 days
2016-05-13,PRU,BUY,48.08819910621643,109,5241.613702577591,27024.929252332106,,0.0,,Div in 7 days
2016-05-13,SLB,BUY,54.6011585483551,96,5241.71122064209,21783.218031690016,,0.0,,Div in 14 days
2016-05-13,BALL,BUY,32.47393530464172,162,5260.777519351959,16522.440512338057,,0.0,,Div in 14 days
2016-05-13,MLM,BUY,171.54767555236816,30,5146.430266571045,11376.010245767011,,0.0,,Div in 14 days
2016-05-13,SNA,BUY,127.11790951538086,41,5211.834290130615,6164.175955636396,,0.0,,Div in 5 days
2016-05-13,GS,BUY,126.54409827804565,41,5188.308029399872,975.867926236524,,0.0,,Div in 14 days
2016-05-16,ADM,DIVIDEND,0.3,185,55.5,1031.367926236524,,55.5,55.5,Dividend Payment
2016-05-17,MSFT,DIVIDEND,0.36,118,42.48,1073.847926236524,,42.48,42.48,Dividend Payment
2016-05-18,MAR,DIVIDEND,0.3,83,24.9,1098.747926236524,,24.9,24.9,Dividend Payment
2016-05-18,SNA,DIVIDEND,0.61,41,25.009999999999998,1123.757926236524,,25.009999999999998,25.009999999999998,Dividend Payment
2016-05-20,PRU,DIVIDEND,0.7,109,76.3,1200.057926236524,,76.3,76.3,Dividend Payment
2016-05-24,NVDA,DIVIDEND,0.002875,5265,15.136875,1215.194801236524,,15.136875,15.136875,Dividend Payment
2016-05-27,QCOM,DIVIDEND,0.53,136,72.08,1287.274801236524,,72.08,72.08,Dividend Payment
2016-05-27,L,DIVIDEND,0.063,140,8.82,1296.0948012365238,,8.82,8.82,Dividend Payment
2016-05-27,LHX,DIVIDEND,0.5,84,42.0,1338.0948012365238,,42.0,42.0,Dividend Payment
2016-05-27,LMT,DIVIDEND,1.65,28,46.199999999999996,1384.2948012365239,,46.199999999999996,46.199999999999996,Dividend Payment
2016-05-27,SLB,DIVIDEND,0.5,96,48.0,1432.2948012365239,,48.0,48.0,Dividend Payment
2016-05-27,BALL,DIVIDEND,0.065,162,10.530000000000001,1442.8248012365239,,10.530000000000001,10.530000000000001,Dividend Payment
2016-05-27,MLM,DIVIDEND,0.4,30,12.0,1454.8248012365239,,12.0,12.0,Dividend Payment
2016-05-27,GS,DIVIDEND,0.65,41,26.650000000000002,1481.474801236524,,26.650000000000002,26.650000000000002,Dividend Payment
2016-06-20,STZ,SELL,132.79999134826662,38,5046.399671234131,6527.874472470656,-104.67012097167844,15.200000000000001,-89.47012097167844,45 days post-div
2016-06-20,NUE,BUY,41.214062919616694,131,5399.042242469787,1128.8322300008685,,0.0,,Div in 8 days
2016-06-27,LLY,SELL,63.80358487319947,82,5231.8939596023565,6360.726189603225,-19.12061644744847,41.82,22.69938355255153,45 days post-div
2016-06-27,COF,SELL,48.913652734756475,90,4402.228746128083,10762.954935731308,-826.2800834655754,36.0,-790.2800834655754,45 days post-div
2016-06-27,CNP,SELL,16.976883669853212,335,5687.256029400826,16450.210965132133,417.99068576097596,86.43,504.42068576097597,45 days post-div
2016-06-27,XOM,SELL,57.9332343158722,91,5271.92432274437,21722.135287876503,22.806228977204114,68.25,91.05622897720411,45 days post-div
2016-06-27,BA,SELL,111.9096696395874,42,4700.2061248626715,26422.341412739173,-426.85536181640555,45.78,-381.0753618164056,45 days post-div
2016-06-27,DRI,BUY,49.13948666381836,104,5110.50661303711,21311.834799702065,,0.0,,Div in 10 days
2016-06-27,DIS,BUY,87.03701177215575,59,5135.1836945571895,16176.651105144876,,0.0,,Div in 10 days
2016-06-27,MA,BUY,84.12694998550414,61,5131.743949115753,11044.907156029123,,0.0,,Div in 9 days
2016-06-27,MDLZ,BUY,33.09103828811645,155,5129.11093465805,5915.796221371073,,0.0,,Div in 1 days
2016-06-27,ITW,BUY,78.53463954162598,65,5104.751570205689,811.0446511653845,,0.0,,Div in 1 days
2016-06-28,NUE,DIVIDEND,0.375,131,49.125,860.1696511653845,,49.125,49.125,Dividend Payment
2016-06-28,MDLZ,DIVIDEND,0.17,155,26.35,886.5196511653845,,26.35,26.35,Dividend Payment
2016-06-28,ITW,DIVIDEND,0.55,65,35.75,922.2696511653845,,35.75,35.75,Dividend Payment
2016-06-30,ADM,SELL,32.11873637008667,185,5941.966228466034,6864.235879631419,686.687896313668,55.5,742.187896313668,45 days post-div
2016-06-30,NTAP,BUY,19.241713674545288,282,5426.163256221771,1438.0726234096483,,0.0,,Div in 14 days
2016-07-01,MSFT,SELL,45.307313953399664,118,5346.263046501161,6784.335669910809,88.95450778198327,42.48,131.43450778198326,45 days post-div
2016-07-01,ROP,BUY,160.44647037506104,33,5294.733522377014,1489.6021475337948,,0.0,,Div in 5 days
2016-07-05,PRU,SELL,44.19443683242798,109,4817.19361473465,6306.795762268444,-424.4200878429407,76.3,-348.1200878429407,45 days post-div
2016-07-05,SNA,SELL,122.28300515747071,41,5013.6032114562995,11320.398973724743,-198.23107867431605,25.009999999999998,-173.22107867431606,45 days post-div
2016-07-05,MAR,SELL,61.33304570579529,83,5090.642793581009,16411.041767305753,-143.42642055892884,24.9,-118.52642055892883,45 days post-div
2016-07-05,CVS,BUY,70.52812058258056,75,5289.609043693542,11121.432723612212,,0.0,,Div in 14 days
2016-07-05,PG,BUY,65.56671778106688,81,5310.904140266418,5810.528583345794,,0.0,,Div in 15 days
