Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2016-03-14,HBAN,BUY,6.461341857910156,773,4994.617256164551,95005.38274383545,,0.0,,Div in 2 days
2016-03-14,PLD,BUY,31.817094802856445,157,4995.283884048462,90010.09885978699,,0.0,,Div in 2 days
2016-03-14,ARE,BUY,60.35295104980469,82,4948.941986083984,85061.156873703,,0.0,,Div in 15 days
2016-03-14,NUE,BUY,35.96493911743164,139,4999.126537322998,80062.03033638,,0.0,,Div in 15 days
2016-03-14,MDLZ,BUY,33.61635971069336,148,4975.221237182617,75086.80909919739,,0.0,,Div in 15 days
2016-03-14,ITW,BUY,77.54757690429688,64,4963.044921875,70123.76417732239,,0.0,,Div in 15 days
2016-03-14,WTW,BUY,104.81291961669922,47,4926.207221984863,65197.556955337524,,0.0,,Div in 15 days
2016-03-14,SYK,BUY,94.03719329833984,53,4983.971244812012,60213.58571052551,,0.0,,Div in 15 days
2016-03-14,DE,BUY,69.30050659179688,72,4989.636474609375,55223.94923591614,,0.0,,Div in 15 days
2016-03-14,USB,BUY,28.192298889160156,177,4990.036903381348,50233.91233253479,,0.0,,Div in 15 days
2016-03-14,MDT,BUY,60.13886260986328,83,4991.525596618652,45242.38673591614,,0.0,,Div in 8 days
2016-03-14,DG,BUY,75.20695495605469,66,4963.659027099609,40278.72770881653,,0.0,,Div in 10 days
2016-03-14,LII,BUY,117.9066390991211,42,4952.078842163086,35326.64886665344,,0.0,,Div in 15 days
2016-03-14,CB,BUY,99.74590301513672,50,4987.295150756836,30339.353715896606,,0.0,,Div in 15 days
2016-03-14,SRE,BUY,36.554359436035156,136,4971.392883300781,25367.960832595825,,0.0,,Div in 8 days
2016-03-14,KHC,BUY,49.186336517333984,101,4967.819988250732,20400.140844345093,,0.0,,Div in 2 days
2016-03-14,RSP,BUY,65.2545394897461,76,4959.345001220703,15440.79584312439,,0.0,,Div in 4 days
2016-03-14,DTE,BUY,53.84019470214844,92,4953.297912597656,10487.497930526733,,0.0,,Div in 3 days
2016-03-14,EIX,BUY,46.405147552490234,107,4965.350788116455,5522.147142410278,,0.0,,Div in 15 days
2016-03-14,ZBH,BUY,94.02690124511719,53,4983.425765991211,538.7213764190674,,0.0,,Div in 15 days
2016-03-16,HBAN,DIVIDEND,0.07,773,54.11000000000001,592.8313764190674,,54.11000000000001,54.11000000000001,Dividend Payment
2016-03-16,PLD,DIVIDEND,0.42,157,65.94,658.7713764190673,,65.94,65.94,Dividend Payment
2016-03-16,KHC,DIVIDEND,0.575,101,58.074999999999996,716.8463764190674,,58.074999999999996,58.074999999999996,Dividend Payment
2016-03-17,DTE,DIVIDEND,0.621277,92,57.157484,774.0038604190673,,57.157484,57.157484,Dividend Payment
2016-03-18,RSP,DIVIDEND,0.402,76,30.552000000000003,804.5558604190674,,30.552000000000003,30.552000000000003,Dividend Payment
2016-03-22,MDT,DIVIDEND,0.38,83,31.54,836.0958604190673,,31.54,31.54,Dividend Payment
2016-03-22,SRE,DIVIDEND,0.3775,136,51.34,887.4358604190674,,51.34,51.34,Dividend Payment
2016-03-24,DG,DIVIDEND,0.25,66,16.5,903.9358604190674,,16.5,16.5,Dividend Payment
2016-03-29,ARE,DIVIDEND,0.8,82,65.60000000000001,969.5358604190674,,65.60000000000001,65.60000000000001,Dividend Payment
2016-03-29,NUE,DIVIDEND,0.375,139,52.125,1021.6608604190674,,52.125,52.125,Dividend Payment
2016-03-29,MDLZ,DIVIDEND,0.17,148,25.16,1046.8208604190675,,25.16,25.16,Dividend Payment
2016-03-29,ITW,DIVIDEND,0.55,64,35.2,1082.0208604190675,,35.2,35.2,Dividend Payment
2016-03-29,WTW,DIVIDEND,0.48,47,22.56,1104.5808604190674,,22.56,22.56,Dividend Payment
2016-03-29,SYK,DIVIDEND,0.38,53,20.14,1124.7208604190675,,20.14,20.14,Dividend Payment
2016-03-29,DE,DIVIDEND,0.6,72,43.199999999999996,1167.9208604190676,,43.199999999999996,43.199999999999996,Dividend Payment
2016-03-29,USB,DIVIDEND,0.255,177,45.135,1213.0558604190676,,45.135,45.135,Dividend Payment
2016-03-29,LII,DIVIDEND,0.36,42,15.12,1228.1758604190675,,15.12,15.12,Dividend Payment
2016-03-29,CB,DIVIDEND,0.67,50,33.5,1261.6758604190675,,33.5,33.5,Dividend Payment
2016-03-29,EIX,DIVIDEND,0.48,107,51.36,1313.0358604190674,,51.36,51.36,Dividend Payment
2016-03-29,ZBH,DIVIDEND,0.23301,53,12.34953,1325.3853904190673,,12.34953,12.34953,Dividend Payment
2016-05-02,HBAN,SELL,6.809206485748291,773,5263.516613483429,6588.902003902496,268.8993573188782,54.11000000000001,323.0093573188782,45 days post-div
2016-05-02,PLD,SELL,34.88010787963867,157,5476.1769371032715,12065.078941005768,480.89305305480957,65.94,546.8330530548096,45 days post-div
2016-05-02,KHC,SELL,50.79832458496094,101,5130.630783081055,17195.709724086824,162.81079483032227,58.074999999999996,220.88579483032225,45 days post-div
2016-05-02,RSP,SELL,67.82122802734375,76,5154.413330078125,22350.12305416495,195.06832885742188,30.552000000000003,225.62032885742187,45 days post-div
2016-05-02,DTE,SELL,55.55906677246094,92,5111.434143066406,27461.557197231356,158.13623046875,57.157484,215.29371446875,45 days post-div
2016-05-02,BA,BUY,121.29682922363281,43,5215.763656616211,22245.793540615145,,0.0,,Div in 9 days
2016-05-02,XOM,BUY,57.65378952026367,91,5246.494846343994,16999.29869427115,,0.0,,Div in 9 days
2016-05-02,MSFT,BUY,44.53119659423828,118,5254.681198120117,11744.617496151033,,0.0,,Div in 15 days
2016-05-02,CNP,BUY,15.72128963470459,336,5282.353317260742,6462.264178890291,,0.0,,Div in 10 days
2016-05-02,STZ,BUY,135.48672485351562,39,5283.982269287109,1178.2819096031817,,0.0,,Div in 4 days
2016-05-06,STZ,DIVIDEND,0.4,39,15.600000000000001,1193.8819096031816,,15.600000000000001,15.600000000000001,Dividend Payment
2016-05-06,MDT,SELL,62.167236328125,83,5159.880615234375,6353.762524837557,168.35501861572266,31.54,199.89501861572265,45 days post-div
