Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2016-03-14,PLD,BUY,42.41119438934326,117,4962.109743553161,95037.89025644684,,0.0,,Div in 2 days
2016-03-14,MA,BUY,88.91443774795532,56,4979.208513885498,90058.68174256134,,0.0,,Div in 23 days
2016-03-14,MDLZ,BUY,42.26112167930603,118,4986.812358158111,85071.86938440322,,0.0,,Div in 15 days
2016-03-14,ITW,BUY,98.0890209159851,50,4904.451045799256,80167.41833860397,,0.0,,Div in 15 days
2016-03-14,SYK,BUY,105.24259744262694,47,4946.402079803466,75221.0162588005,,0.0,,Div in 15 days
2016-03-14,CMCSA,BUY,27.769265954017637,180,4998.4678717231745,70222.54838707733,,0.0,,Div in 21 days
2016-03-14,PG,BUY,81.21058316802979,61,4953.845573249817,65268.70281382751,,0.0,,Div in 31 days
2016-03-14,EOG,BUY,74.81738877868652,66,4937.9476593933105,60330.7551544342,,0.0,,Div in 30 days
2016-03-14,DE,BUY,81.89092347335814,61,4995.346331874846,55335.40882255935,,0.0,,Div in 15 days
2016-03-14,ABBV,BUY,57.23860408401489,87,4979.758555309295,50355.65026725006,,0.0,,Div in 30 days
2016-03-14,USB,BUY,40.51024667930603,123,4982.760341554642,45372.88992569542,,0.0,,Div in 15 days
2016-03-14,MDT,BUY,77.56876377868652,64,4964.400881835937,40408.48904385948,,0.0,,Div in 8 days
2016-03-14,CB,BUY,119.7998678627014,41,4911.794582370758,35496.694461488725,,0.0,,Div in 15 days
2016-03-14,INTU,BUY,99.47971530532837,50,4973.985765266419,30522.708696222307,,0.0,,Div in 24 days
2016-03-14,SRE,BUY,50.060017347335815,99,4955.941717386246,25566.76697883606,,0.0,,Div in 8 days
2016-03-14,ORCL,BUY,38.71935076332092,129,4994.7962484683985,20571.970730367662,,0.0,,Div in 29 days
2016-03-14,GD,BUY,134.2771117172241,37,4968.253133537291,15603.71759683037,,0.0,,Div in 23 days
2016-03-14,PNC,BUY,85.86290969467163,58,4980.048762290954,10623.668834539418,,0.0,,Div in 30 days
2016-03-14,O,BUY,57.92623410415649,86,4981.656132957458,5642.01270158196,,0.0,,Div in 16 days
2016-03-14,MRSH,BUY,58.859416831970215,84,4944.191013885498,697.8216876964616,,0.0,,Div in 23 days
2016-03-16,PLD,DIVIDEND,0.42,117,49.14,746.9616876964616,,49.14,49.14,Dividend Payment
2016-03-22,MDT,DIVIDEND,0.38,64,24.32,771.2816876964616,,24.32,24.32,Dividend Payment
2016-03-22,SRE,DIVIDEND,0.3775,99,37.3725,808.6541876964616,,37.3725,37.3725,Dividend Payment
2016-03-29,MDLZ,DIVIDEND,0.17,118,20.060000000000002,828.7141876964615,,20.060000000000002,20.060000000000002,Dividend Payment
2016-03-29,ITW,DIVIDEND,0.55,50,27.500000000000004,856.2141876964615,,27.500000000000004,27.500000000000004,Dividend Payment
2016-03-29,SYK,DIVIDEND,0.38,47,17.86,874.0741876964615,,17.86,17.86,Dividend Payment
2016-03-29,DE,DIVIDEND,0.6,61,36.6,910.6741876964616,,36.6,36.6,Dividend Payment
2016-03-29,USB,DIVIDEND,0.255,123,31.365000000000002,942.0391876964616,,31.365000000000002,31.365000000000002,Dividend Payment
2016-03-29,CB,DIVIDEND,0.67,41,27.470000000000002,969.5091876964616,,27.470000000000002,27.470000000000002,Dividend Payment
2016-03-30,O,DIVIDEND,0.192829,86,16.583294,986.0924816964616,,16.583294,16.583294,Dividend Payment
2016-04-04,CMCSA,DIVIDEND,0.128866,180,23.195880000000002,1009.2883616964616,,23.195880000000002,23.195880000000002,Dividend Payment
2016-04-06,MA,DIVIDEND,0.19,56,10.64,1019.9283616964616,,10.64,10.64,Dividend Payment
2016-04-06,GD,DIVIDEND,0.76,37,28.12,1048.0483616964616,,28.12,28.12,Dividend Payment
2016-04-06,MRSH,DIVIDEND,0.31,84,26.04,1074.0883616964616,,26.04,26.04,Dividend Payment
2016-04-07,INTU,DIVIDEND,0.3,50,15.0,1089.0883616964616,,15.0,15.0,Dividend Payment
2016-04-12,ORCL,DIVIDEND,0.15,129,19.349999999999998,1108.4383616964615,,19.349999999999998,19.349999999999998,Dividend Payment
2016-04-13,EOG,DIVIDEND,0.168,66,11.088000000000001,1119.5263616964614,,11.088000000000001,11.088000000000001,Dividend Payment
2016-04-13,ABBV,DIVIDEND,0.57,87,49.589999999999996,1169.1163616964614,,49.589999999999996,49.589999999999996,Dividend Payment
2016-04-13,PNC,DIVIDEND,0.51,58,29.580000000000002,1198.6963616964613,,29.580000000000002,29.580000000000002,Dividend Payment
2016-04-14,PG,DIVIDEND,0.67,61,40.870000000000005,1239.5663616964612,,40.870000000000005,40.870000000000005,Dividend Payment
2016-04-28,O,DIVIDEND,0.192829,86,16.583294,1256.1496556964612,,16.583294,16.583294,Dividend Payment
2016-05-02,PLD,SELL,45.98699332237244,117,5380.478218717576,6636.627874414037,418.36847516441446,49.14,467.50847516441445,45 days post-div
2016-05-02,BA,BUY,134.07699950408934,39,5229.002980659485,1407.6248937545524,,0.0,,Div in 9 days
2016-05-06,MDT,SELL,79.70012786483765,64,5100.80818334961,6508.433077104162,136.4073015136728,24.32,160.72730151367278,45 days post-div
2016-05-06,SRE,SELL,52.35381106758118,99,5183.027295690536,11691.4603727947,227.08557830429075,37.3725,264.4580783042908,45 days post-div
2016-05-06,XOM,BUY,88.55425713729858,59,5224.701171100616,6466.7592016940835,,0.0,,Div in 5 days
2016-05-06,BLK,BUY,356.1880147705078,14,4986.632206787109,1480.1269949069747,,0.0,,Div in 27 days
2016-05-11,BA,DIVIDEND,1.09,39,42.510000000000005,1522.6369949069747,,42.510000000000005,42.510000000000005,Dividend Payment
2016-05-11,XOM,DIVIDEND,0.75,59,44.25,1566.8869949069747,,44.25,44.25,Dividend Payment
2016-05-13,ITW,SELL,102.92851335525513,50,5146.425667762756,6713.312662669731,241.9746219635016,27.500000000000004,269.4746219635016,45 days post-div
2016-05-13,MDLZ,SELL,44.337820610046386,118,5231.862831985473,11945.175494655205,245.05047382736205,20.060000000000002,265.11047382736206,45 days post-div
2016-05-13,DE,SELL,82.42876622009278,61,5028.1547394256595,16973.330234080866,32.80840755081303,36.6,69.40840755081302,45 days post-div
2016-05-13,USB,SELL,41.4092853050232,123,5093.342092517853,22066.67232659872,110.58175096321165,31.365000000000002,141.94675096321166,45 days post-div
2016-05-13,SYK,SELL,110.85454866027833,47,5210.1637870330815,27276.8361136318,263.7617072296149,17.86,281.6217072296149,45 days post-div
2016-05-13,CB,SELL,125.05744274520875,41,5127.355152553559,32404.19126618536,215.56057018280103,27.470000000000002,243.03057018280103,45 days post-div
2016-05-13,PLD,BUY,47.463718626022334,110,5221.009048862456,27183.182217322905,,0.0,,Div in 27 days
2016-05-13,MSFT,BUY,51.105541831970214,102,5212.765266860962,21970.416950461942,,0.0,,Div in 4 days
