Ticker,Company Name,Ex-Date 1,Ex-Date 2,Ex-Date 3,Ex-Date 4,,Q1 Stock $ change,Div 1 $,Q1 %,Q2 Stock $ change,Div 2 $,Q2 %,Q3 Stock $ change,Div 3,Q3 %,Q4 Stock $ change,Div 4 $,Q4 %,Total Gain in %,1/1/25 $$$,12/31/25 $$$,stock chng $$$ anal,stock chng % anal
PFLT,PennantPark,Monthly,Monthly,Monthly,Monthly,,#VALUE!,~$0.10,#VALUE!,#VALUE!,~$0.10,#VALUE!,#VALUE!,~$0.10,#VALUE!,#VALUE!,~$0.10,#VALUE!,#VALUE!,$10.99,$9.27,-$1.72,-18.55%
MAIN,Main Street Cap,Monthly,Monthly,Monthly,Monthly,,#VALUE!,~$0.24,#VALUE!,#VALUE!,~$0.24,#VALUE!,#VALUE!,~$0.24,#VALUE!,#VALUE!,~$0.24,#VALUE!,#VALUE!,$59.26,$60.39,$1.13,1.87%
O,Realty Income,Monthly,Monthly,Monthly,Monthly,,#VALUE!,~$0.26,#VALUE!,#VALUE!,~$0.26,#VALUE!,#VALUE!,~$0.26,#VALUE!,#VALUE!,~$0.26,#VALUE!,#VALUE!,$52.60,$56.37,$3.77,6.69%
BIP,Brookfield Infra,02/28/2025,05/30/2025,08/29/2025,11/28/2025,,-$4.33,$0.40,-12.39%,$0.94,$0.40,4.05%,-$0.16,$0.40,0.76%,$0.39,$0.40,2.19%,-5.39%,$31.86,$34.74,$2.88,8.29%
ABBV,AbbVie Inc.,01/15/2025,04/15/2025,07/15/2025,10/15/2025,,-$9.30,$1.55,-4.52%,-$1.89,$1.55,-0.19%,-$2.66,$1.55,-0.60%,-$2.56,$1.64,-0.41%,-5.72%,$179.44,$228.49,$49.05,21.47%
TSLX,Sixth Street Spec,03/14/2025,06/16/2025,09/15/2025,12/15/2025,,-$0.14,$0.46,1.47%,-$0.61,$0.46,-0.67%,-$1.54,$0.46,-4.62%,-$0.89,$0.46,-1.97%,-5.78%,$21.25,$21.72,$0.47,2.16%
FITB,Fifth Third,03/31/2025,06/30/2025,09/30/2025,12/31/2025,,-$6.18,$0.35,-14.87%,$2.92,$0.35,7.95%,-$1.46,$0.37,-2.45%,$0.95,$0.37,2.82%,-6.55%,$42.17,$46.81,$4.64,9.91%
D,Dominion Energy,03/07/2025,06/06/2025,09/05/2025,12/05/2025,,-$1.94,$0.66,-2.32%,-$1.16,$0.66,-0.90%,$0.15,$0.66,1.39%,-$3.44,$0.66,-4.75%,-6.58%,$54.40,$58.59,$4.19,7.15%
TROW,T. Rowe Price,03/14/2025,06/13/2025,09/15/2025,12/15/2025,,-$7.83,$1.24,-7.08%,-$1.07,$1.24,0.19%,-$2.88,$1.24,-1.57%,$0.28,$1.24,1.47%,-7.00%,$113.43,$102.38,-$11.05,-10.79%
USB,U.S. Bancorp,03/31/2025,06/30/2025,09/30/2025,12/31/2025,,-$6.96,$0.49,-15.32%,$3.69,$0.49,9.24%,-$1.85,$0.50,-2.79%,-$0.07,$0.50,0.81%,-8.07%,$47.86,$53.36,$5.50,10.31%
HPQ,HP Inc.,03/12/2025,06/11/2025,09/10/2025,12/10/2025,,-$0.76,$0.27,-1.72%,-$1.00,$0.27,-2.94%,-$0.80,$0.27,-1.87%,-$0.76,$0.27,-1.92%,-8.45%,$32.47,$22.28,-$10.19,-45.74%
ARE,Alexandria RE,03/28/2025,06/30/2025,09/30/2025,12/31/2025,,-$14.99,$1.27,-14.35%,$2.12,$1.30,4.71%,-$8.88,$1.30,-9.10%,$3.42,$1.30,9.64%,-9.09%,$97.50,$48.94,-$48.56,-99.22%
EXR,Extra Space Stg,03/14/2025,06/13/2025,09/15/2025,12/15/2025,,-$13.47,$1.62,-8.17%,-$3.76,$1.62,-1.43%,-$8.42,$1.62,-4.73%,$2.22,$1.62,2.88%,-11.45%,$147.79,$130.22,-$17.57,-13.49%
BMY,Bristol-Myers,01/03/2025,04/04/2025,07/03/2025,10/03/2025,,-$1.85,$0.60,-2.21%,-$9.31,$0.60,-15.75%,$1.87,$0.60,5.26%,-$0.16,$0.60,0.97%,-11.73%,$56.79,$53.94,-$2.85,-5.28%
ARCC,Ares Capital Corp,03/14/2025,06/13/2025,09/15/2025,12/15/2025,,-$1.25,$0.48,-3.62%,-$0.70,$0.48,-1.02%,-$1.55,$0.48,-5.02%,-$1.11,$0.48,-3.10%,-12.76%,$22.21,$20.23,-$1.98,-9.79%
PSA,Public Storage,03/12/2025,06/11/2025,09/11/2025,12/11/2025,,-$15.68,$3.00,-4.18%,-$12.48,$3.00,-3.16%,-$8.43,$3.00,-1.84%,-$15.26,$3.00,-4.48%,-13.66%,$296.58,$259.50,-$37.08,-14.29%
CAG,Conagra Brands,01/30/2025,04/30/2025,07/31/2025,10/30/2025,,-$0.33,$0.35,0.08%,-$2.22,$0.35,-7.57%,-$0.05,$0.35,1.64%,-$1.77,$0.35,-8.15%,-14.00%,$27.67,$17.31,-$10.36,-59.85%
KMB,Kimberly-Clark,03/07/2025,06/06/2025,09/05/2025,12/05/2025,,-$2.37,$1.22,-0.79%,-$13.00,$1.22,-8.82%,-$1.15,$1.22,0.05%,-$5.97,$1.22,-4.61%,-14.17%,$130.63,$100.89,-$29.74,-29.48%
UVV,Universal Corp,01/10/2025,04/11/2025,07/11/2025,10/10/2025,,-$3.64,$0.80,-5.65%,-$2.23,$0.81,-2.69%,-$3.43,$0.81,-4.49%,-$1.77,$0.81,-1.82%,-14.64%,$54.70,$52.75,-$1.95,-3.70%
VZ,Verizon,01/10/2025,04/10/2025,07/10/2025,10/10/2025,,-$1.48,$0.66,-2.17%,-$1.58,$0.66,-2.14%,-$2.60,$0.66,-4.62%,-$3.12,$0.67,-6.15%,-15.08%,$40.21,$40.73,$0.52,1.28%
GIS,General Mills,01/10/2025,04/10/2025,07/10/2025,10/10/2025,,-$4.25,$0.59,-6.26%,-$3.46,$0.59,-5.02%,-$2.86,$0.60,-4.40%,-$1.97,$0.60,-2.78%,-18.45%,$63.54,$46.50,-$17.04,-36.65%
CPB,Campbell Soup,01/08/2025,04/09/2025,07/09/2025,10/08/2025,,-$3.34,$0.37,-7.57%,-$2.54,$0.37,-5.67%,-$0.98,$0.37,-1.98%,-$1.84,$0.37,-4.82%,-20.05%,$42.03,$27.87,-$14.16,-50.81%
