BuyBefore,SellAfter,FinalEquity,TotalReturnPct,MaxDrawdownPct,TotalTrades,ReportDir
40,15,607348.4,507.35,-36.66,4822,reports/portfolio_20260315_180527
40,20,587903.07,487.9,-38.87,4420,reports/portfolio_20260315_180529
40,25,656652.52,556.65,-39.59,3970,reports/portfolio_20260315_180532
40,30,620852.68,520.85,-39.24,3620,reports/portfolio_20260315_180534
40,35,666593.41,566.59,-39.81,3402,reports/portfolio_20260315_180536
40,40,696937.41,596.94,-41.39,3135,reports/portfolio_20260315_180538
40,45,595040.44,495.04,-40.57,2789,reports/portfolio_20260315_180541
40,50,563495.72,463.5,-42.36,2200,reports/portfolio_20260315_180543
40,55,473685.85,373.69,-37.24,932,reports/portfolio_20260315_180545
40,60,420438.33,320.44,-34.62,883,reports/portfolio_20260315_180547
45,5,672509.09,572.51,-38.68,5544,reports/portfolio_20260315_180549
45,10,591330.52,491.33,-38.61,4827,reports/portfolio_20260315_180551
45,15,595729.43,495.73,-37.08,4418,reports/portfolio_20260315_180554
45,20,554484.7,454.48,-39.04,4037,reports/portfolio_20260315_180556
45,25,646059.73,546.06,-39.28,3659,reports/portfolio_20260315_180558
45,30,621884.51,521.88,-39.08,3403,reports/portfolio_20260315_180600
45,35,655839.35,555.84,-39.83,3163,reports/portfolio_20260315_180603
45,40,614615.68,514.62,-39.7,2802,reports/portfolio_20260315_180605
45,45,584637.22,484.64,-41.55,1704,reports/portfolio_20260315_180608
45,50,458087.29,358.09,-36.04,927,reports/portfolio_20260315_180610
45,55,411603.19,311.6,-35.92,872,reports/portfolio_20260315_180612
45,60,431485.74,331.49,-35.45,868,reports/portfolio_20260315_180614
50,5,719889.08,619.89,-38.76,5067,reports/portfolio_20260315_180616
50,10,597079.6,497.08,-38.97,4502,reports/portfolio_20260315_180619
50,15,565205.62,465.21,-39.11,4070,reports/portfolio_20260315_180621
50,20,593385.24,493.39,-38.15,3782,reports/portfolio_20260315_180623
50,25,629529.13,529.53,-38.52,3470,reports/portfolio_20260315_180625
