Date,Equity,Cash,RunningMax,DrawdownPct,CD_5Pct,S&P500_SPY,EqualWeight_RSP,Balanced_60_40
2016-03-14,100000.0,100000.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0
2016-03-15,99699.64506947805,526.7464255075677,100000.0,-0.30035493052195106,100019.3630506544,99837.08686708905,99431.18490109309,99865.72271500986
2016-03-16,100143.51788508703,704.8714255075677,100143.51788508703,0.0,100038.72985058611,100414.83992477758,100374.94257891606,100384.14308627485
2016-03-17,100980.52818566877,762.0289095075676,100980.52818566877,0.0,100058.10040052107,101051.89393185033,101305.81595345656,100850.30789984157
2016-03-18,101206.71356135923,762.0289095075676,101206.71356135923,0.0,100077.47470118546,102058.378248603,102389.40013030083,101485.98493937982
2016-03-21,101046.17812902051,762.0289095075676,101206.71356135923,-0.15862132727132439,100096.85275330552,102203.19222103036,102415.5357121781,101483.95216022714
2016-03-22,100978.55978079324,859.1040575075676,101206.71356135923,-0.22543344461795067,100116.23455760759,102148.27542832427,102337.10544217016,101425.37196896561
2016-03-23,100771.96463985924,859.1040575075676,101206.71356135923,-0.429565298784651,100135.62011481824,101474.15838170271,101291.23520393293,101112.39463203192
2016-03-24,100481.53223867898,875.6040575075676,101206.71356135923,-0.7165348000758742,100155.00942566418,101429.1963756875,101173.5309879807,101089.17419072425
2016-03-28,100767.61326094155,875.6040575075676,101206.71356135923,-0.4338647950972718,100174.40249087218,101489.10397789357,101317.3707858102,101154.39173533791
2016-03-29,102371.81365008767,1265.5585875075674,102371.81365008767,0.0,100193.79931116923,102427.89492186988,102350.18499529686,101836.96927661488
2016-03-30,102650.77963061746,1265.5585875075674,102650.77963061746,0.0,100213.1998872824,102877.32715585805,102663.94136189281,102090.33348701295
2016-03-31,102263.03073401864,1265.5585875075674,102650.77963061746,-0.3777359490050647,100232.60421993898,102627.67040751854,102663.94136189281,102071.06469880223
2016-04-01,103163.77042527612,1265.5585875075674,103163.77042527612,0.0,100252.01230986632,103326.75044574315,103069.20755162339,102559.94473222242
2016-04-04,102625.92796273644,1265.5585875075674,103163.77042527612,-0.5213482023025184,100271.42415779192,102992.19627128541,102402.45615905139,102401.52411943486
2016-04-05,101252.9174376243,1279.6195955985413,103163.77042527612,-1.852251987082898,100290.83976444349,101963.52603579393,101251.9965445528,101843.39929149068
2016-04-06,102006.94589240965,1405.265050963725,103163.77042527612,-1.121347667012984,100310.25913054879,103077.05792099147,102324.01412685537,102503.36848936284
2016-04-07,101079.83256926664,1457.8884927285562,103163.77042527612,-2.0200287827972674,100329.68225683579,101843.6750549696,101042.86484078238,101856.34027887697
2016-04-08,101529.33237280973,1457.8884927285562,103163.77042527612,-1.5843139948536922,100349.10914403258,102118.31268311825,101487.357927705,101980.74336999643
2016-04-11,101335.41228308805,1457.8884927285562,103163.77042527612,-1.7722870486905906,100368.53979286738,101878.61966557265,101369.70076050505,101866.55711323535
2016-04-12,102475.4375101293,1441.062031384793,103163.77042527612,-0.6672234955249046,100387.97420406855,102827.41906085808,102467.8186381207,102369.66892444315
2016-04-13,103129.6974941686,1530.786031384793,103163.77042527612,-0.03302800098042846,100407.4123783646,103866.04408304041,103762.10628826072,103008.56466803866
2016-04-14,102939.17415313468,1262.324206158963,103163.77042527612,-0.21770847577166075,100426.8543164842,103871.05278074651,103552.90401136193,102940.91305845525
2016-04-15,102930.9174240087,1262.324206158963,103163.77042527612,-0.22571199201766312,100446.30001915612,103756.20155352523,103526.80371604886,102987.96805298259
2016-04-18,103601.42466338858,1302.364206158963,103601.42466338858,0.0,100465.7494871093,104485.26222516199,104271.92656768844,103418.45071138165
2016-04-19,104516.02575196921,1303.5320681542062,104516.02575196921,0.0,100485.2027210728,104814.84347832581,104729.51096992582,103610.46464964532
2016-04-20,104632.93019916616,1403.4185681542062,104632.93019916616,0.0,100504.65972177587,104914.7222770471,104925.5748827576,103568.8336499272
2016-04-21,103750.63341285787,1403.4185681542062,104632.93019916616,-0.8432305055672829,100524.1204899478,104350.42987173462,104219.66716612196,103178.44747305938
2016-04-22,104185.19805938803,1447.5935681542062,104632.93019916616,-0.42790748469520024,100543.58502631818,104350.42987173462,104873.33900556725,103182.18777865899
2016-04-25,103864.02350933157,1447.5935681542062,104632.93019916616,-0.7348610885416273,100563.05333161657,104170.6444563951,104428.81063208045,103030.69917558867
2016-04-26,104720.42288047873,1447.5935681542062,104720.42288047873,0.0,100582.52540657278,104325.44004782244,105160.87745496946,103103.89303351301
2016-04-27,105788.61444243323,964.0300184143689,105788.61444243323,0.0,100602.00125191672,104540.17901786805,105840.69663848008,103354.54501755378
2016-04-28,105112.07453736007,832.8464537495288,105788.61444243323,-0.6395205274583815,100621.48086837848,103591.39751078872,104585.72998303661,102873.92433213683
2016-04-29,104776.71940239608,832.8464537495288,105788.61444243323,-0.9565254686153324,100640.96425668822,103032.12274728536,103945.13769671803,102536.9637175366
2016-05-02,105724.3713261479,872.4464537495288,105788.61444243323,-0.060727817094430314,100660.45141757632,103851.08059864343,104559.54735240708,103098.0105201517
2016-05-03,104926.93207405745,893.2464537495288,105788.61444243323,-0.8145322376300501,100679.94235177325,102947.2610975793,103382.9403938432,102634.19335880649
2016-05-04,104804.62458000648,1362.1561885880155,105788.61444243323,-0.9301472257793986,100699.43706000963,102372.9960173699,102716.23605002345,102309.22262367612
2016-05-05,104864.42962748324,1155.0988588980363,105788.61444243323,-0.8736146321803862,100718.93554301625,102353.0148911638,102690.07694377004,102400.60913659552
2016-05-06,105292.84998251712,1170.2988588980363,105788.61444243323,-0.4686368779183603,100738.43780152402,102727.5313180337,103016.9363878688,102562.77660209348
2016-05-09,105137.97868277346,1170.2988588980363,105788.61444243323,-0.6150338229581664,100757.94383626398,102812.41980004887,102977.67420411257,102639.51662372534
2016-05-10,106643.14316620624,1099.8997732618973,106643.14316620624,0.0,100777.45364796733,104090.75572798289,104245.81451018724,103423.69428262426
2016-05-11,106129.31961735332,1256.3359987362578,106643.14316620624,-0.481815833252508,100796.9672373654,103117.01122930052,103199.94427195001,102843.19170502193
2016-05-12,106088.56066265666,1379.6559987362577,106643.14316620624,-0.5200357820335899,100816.48460518966,103146.9918627127,103173.80869007274,102824.10287636996
2016-05-13,106214.33311007582,1272.2091998871529,106643.14316620624,-0.40209810344965513,100836.00575217175,102248.14528294248,102180.23313996616,102364.30691740013
2016-05-16,107527.93474081122,1326.5091998871528,107527.93474081122,0.0,100855.5306790434,103256.82544812483,103226.06809163922,102900.23873483698
2016-05-17,106974.0768102368,1369.3491998871527,107527.93474081122,-0.5150828311819233,100875.05938653655,102293.08045664853,102520.13685062744,102268.36806453721
2016-05-18,107152.78908013809,678.661515707848,107527.93474081122,-0.3488820477928867,100894.59187538324,102323.04320185461,102271.76648747691,102116.60583224705
2016-05-19,106777.78947597396,1113.9209089840624,107527.93474081122,-0.6976282643625931,100914.12814631559,101968.49895708775,101971.00733869123,101930.19901763138
2016-05-20,107674.84072261702,1113.9209089840624,107674.84072261702,0.0,100933.66820006602,102612.65325850324,102729.29207877397,102342.38814088605
2016-05-23,107455.78400498282,1113.9209089840624,107674.84072261702,-0.20344280628983302,100953.21203736693,102472.83903967892,102663.94136189274,102251.32370947576
2016-05-24,109232.64952994286,255.5133001893757,109232.64952994286,0.0,100972.75965895096,103801.14567133425,103984.31754515776,103024.38038609173
2016-05-25,109780.54094315469,255.5133001893757,109780.54094315469,0.0,100992.31106555086,104505.23440726496,104794.88521118312,103451.13132856294
2016-05-26,110029.22072125375,255.5133001893757,110029.22072125375,0.0,101011.86625789956,104535.17032016188,104716.45494117518,103532.57185623833
2016-05-27,110813.42716198861,105.73097210824497,110813.42716198861,0.0,101031.42523673,104984.62044235614,105317.82033030175,103792.18758529724
2016-05-31,110514.50501233041,105.73097210824497,110813.42716198861,-0.26975264398351184,101050.98800277546,104784.88073311969,105357.00017874152,103699.95435407027
2016-06-01,110711.73666592062,119.287686781287,110813.42716198861,-0.09176730534590227,101070.55455676922,104999.61075906226,105579.28200876701,103911.49068148441
2016-06-02,111494.17837715376,555.7966110728989,111494.17837715376,0.0,101090.12489944471,105319.18356091696,106036.80760006406,104206.64410029059
2016-06-03,111009.22272742497,571.0516110728989,111494.17837715376,-0.4349605125465117,101109.6990315356,105004.58368035617,105670.78006971358,104245.79651491021
2016-06-06,111130.66130871046,595.1116110728989,111494.17837715376,-0.3260412998547957,101129.27695377558,105538.91334046258,106389.8026260401,104507.87855556405
2016-06-07,111252.72988048781,912.0097786544575,111494.17837715376,-0.21655704376707385,101148.85866689855,105703.67266268384,106782.01278702011,104643.39310208082
2016-06-08,111860.4897897787,536.3808308191157,111860.4897897787,0.0,101168.44417163858,106048.26212075984,107082.67783830127,104863.10692451705
2016-06-09,111640.20337522219,650.9508308191156,111860.4897897787,-0.19692959951319589,101188.0334687298,105903.44814833248,106808.12484452124,104807.34761968696
2016-06-10,110191.12151277254,650.9508308191156,111860.4897897787,-1.4923663217847771,101207.62655890654,104899.72301623793,105383.13576061875,104267.82321940768
2016-06-13,109644.68653955172,774.9708308191156,111860.4897897787,-1.9808631755423023,101227.22344290325,104090.75572798292,104441.87842301898,103819.01175134687
2016-06-14,108890.39499140262,2278.9988284158576,111860.4897897787,-2.6551777164196544,101246.82412145454,103886.0162651434,104115.07778986052,103677.8979124988
2016-06-15,109617.32368498325,2334.2988284158578,111860.4897897787,-2.005324765706884,101266.42859529516,103741.22912502519,104128.12205642302,103680.41611183365
2016-06-16,109823.36171465396,2334.2988284158578,111860.4897897787,-1.8211328047580966,101286.03686515996,104050.81136377685,104245.81451018718,103892.02264998456
2016-06-17,109730.62074619388,2305.3093944177526,111860.4897897787,-1.9040405129528093,101305.64893178397,104297.56918486759,104713.1418389158,104010.12012648882
2016-06-20,110624.35355049228,2305.3093944177526,111860.4897897787,-1.105069575155193,101325.2647959024,104969.2235405276,105580.3519805581,104296.6365833938
2016-06-21,110721.15040546512,2305.3093944177526,111860.4897897787,-1.0185360232685903,101344.88445825054,105267.21065611653,105646.07152071032,104444.3467240929
2016-06-22,110584.14939216326,2374.595466649047,111860.4897897787,-1.1410109145902014,101364.50791956384,105095.43207154574,105540.92261538783,104368.35156559259
2016-06-23,111805.59416655444,2084.2096965684814,111860.4897897787,-0.0490750785442029,101384.13518057787,106464.10847262977,107078.32581347821,105112.69069374343
2016-06-24,106960.09144145106,2070.5401280507967,111860.4897897787,-4.38081252597502,101403.76624202843,102641.05634363054,102650.13564947534,103074.6979195994
2016-06-27,104291.5003970251,2070.5401280507967,111860.4897897787,-6.766454721392812,101423.40110465133,100802.79421890163,100048.41086770681,102132.9159747304
2016-06-28,106214.01529356765,2676.6432432823117,111860.4897897787,-5.047782739752504,101443.03976918264,102620.88997514486,102006.2445626144,103289.07963279964
2016-06-29,108127.38087047194,2248.3365579948368,111860.4897897787,-3.337289981764302,101462.68223635851,104368.24596223775,103964.13723054796,104314.90764574181
2016-06-30,109717.65374013518,2439.207060066218,111860.4897897787,-1.9156326363943044,101482.32850691523,105792.40012401532,105580.3519805581,105254.36484071618
2016-07-01,109589.41751483349,2502.188508066218,111860.4897897787,-2.0302720640802407,101501.9785815893,106014.63512451612,105908.89070829314,105581.28550354624
2016-07-05,108745.50015071301,2502.188508066218,111860.4897897787,-2.7847094581113896,101521.63246111727,105252.04763474285,104634.27131397004,105238.08983484271
2016-07-06,109385.27352587084,570.2934347758738,111860.4897897787,-2.2127708081375097,101541.29014623587,105883.36025460577,105264.99962143222,105695.0884225623
2016-07-07,109761.91490801195,700.4634347758739,111860.4897897787,-1.8760644493070244,101560.95163768202,105817.67782552187,105251.83684203346,105625.85813371075
