Date,Ticker,Action,Price,Shares,Value,CashReserves,PricePnL,DivCaptured,TotalPnL,Reason
2016-03-14,HBAN,BUY,6.464572528839111,773,4997.114564792632,95002.88543520737,,0.0,,Div in 2 days
2016-03-14,MS,BUY,19.537124596595763,255,4981.966772131919,90020.91866307546,,0.0,,Div in 44 days
2016-03-14,DRI,BUY,50.89390347290039,98,4987.602540344238,85033.31612273122,,0.0,,Div in 24 days
2016-03-14,CFG,BUY,15.235658532142638,328,4997.295998542785,80036.02012418844,,0.0,,Div in 49 days
2016-03-14,PLD,BUY,31.833003350257872,157,4997.7815259904855,75038.23859819795,,0.0,,Div in 2 days
2016-03-14,MA,BUY,83.7690440711975,59,4942.373600200653,70095.8649979973,,0.0,,Div in 23 days
2016-03-14,NTAP,BUY,20.681621272087096,241,4984.2707265729905,65111.59427142431,,0.0,,Div in 23 days
2016-03-14,NUE,BUY,35.98292158699036,138,4965.643179004669,60145.95109241964,,0.0,,Div in 15 days
2016-03-14,MDLZ,BUY,33.633167890548705,148,4977.708847801208,55168.24224461843,,0.0,,Div in 15 days
2016-03-14,ITW,BUY,77.58635069274902,64,4965.526444335937,50202.71580028249,,0.0,,Div in 15 days
2016-03-14,GL,BUY,50.34417501068115,99,4984.073326057433,45218.64247422505,,0.0,,Div in 17 days
2016-03-14,DGX,BUY,57.230043439865106,87,4979.013779268264,40239.62869495679,,0.0,,Div in 21 days
2016-03-14,WTW,BUY,104.86532607650756,47,4928.6703255958555,35310.95836936093,,0.0,,Div in 15 days
2016-03-14,CVS,BUY,74.70502793884278,66,4930.531843963623,30380.426525397306,,0.0,,Div in 37 days
2016-03-14,ROP,BUY,165.4371847000122,30,4963.115541000367,25417.31098439694,,0.0,,Div in 23 days
2016-03-14,C,BUY,31.76333504962921,157,4986.843602791786,20430.467381605155,,0.0,,Div in 45 days
2016-03-14,TXN,BUY,42.26843047714233,118,4987.674796302795,15442.792585302359,,0.0,,Div in 45 days
2016-03-14,SYY,BUY,35.44687946891784,141,4998.010005117416,10444.782580184943,,0.0,,Div in 16 days
2016-03-14,CLX,BUY,94.36413694381713,52,4906.935121078491,5537.847459106452,,0.0,,Div in 35 days
2016-03-14,SYK,BUY,94.08421189498901,53,4986.463230434418,551.3842286720346,,0.0,,Div in 15 days
2016-03-16,HBAN,DIVIDEND,0.07,773,54.11000000000001,605.4942286720346,,54.11000000000001,54.11000000000001,Dividend Payment
2016-03-16,PLD,DIVIDEND,0.42,157,65.94,671.4342286720346,,65.94,65.94,Dividend Payment
2016-03-29,NUE,DIVIDEND,0.375,138,51.75,723.1842286720346,,51.75,51.75,Dividend Payment
2016-03-29,MDLZ,DIVIDEND,0.17,148,25.16,748.3442286720345,,25.16,25.16,Dividend Payment
2016-03-29,ITW,DIVIDEND,0.55,64,35.2,783.5442286720346,,35.2,35.2,Dividend Payment
2016-03-29,WTW,DIVIDEND,0.48,47,22.56,806.1042286720345,,22.56,22.56,Dividend Payment
2016-03-29,SYK,DIVIDEND,0.38,53,20.14,826.2442286720345,,20.14,20.14,Dividend Payment
2016-03-30,SYY,DIVIDEND,0.31,141,43.71,869.9542286720346,,43.71,43.71,Dividend Payment
2016-03-31,GL,DIVIDEND,0.14,99,13.860000000000001,883.8142286720346,,13.860000000000001,13.860000000000001,Dividend Payment
2016-04-04,DGX,DIVIDEND,0.4,87,34.800000000000004,918.6142286720345,,34.800000000000004,34.800000000000004,Dividend Payment
2016-04-06,MA,DIVIDEND,0.19,59,11.21,929.8242286720346,,11.21,11.21,Dividend Payment
2016-04-06,NTAP,DIVIDEND,0.18,241,43.379999999999995,973.2042286720346,,43.379999999999995,43.379999999999995,Dividend Payment
2016-04-06,ROP,DIVIDEND,0.3,30,9.0,982.2042286720346,,9.0,9.0,Dividend Payment
2016-04-07,DRI,DIVIDEND,0.5,98,49.0,1031.2042286720346,,49.0,49.0,Dividend Payment
2016-04-18,CLX,DIVIDEND,0.77,52,40.04,1071.2442286720345,,40.04,40.04,Dividend Payment
2016-04-20,CVS,DIVIDEND,0.425,66,28.05,1099.2942286720345,,28.05,28.05,Dividend Payment
2016-04-27,MS,DIVIDEND,0.15,255,38.25,1137.5442286720345,,38.25,38.25,Dividend Payment
2016-04-28,C,DIVIDEND,0.05,157,7.8500000000000005,1145.3942286720344,,7.8500000000000005,7.8500000000000005,Dividend Payment
2016-04-28,TXN,DIVIDEND,0.38,118,44.84,1190.2342286720343,,44.84,44.84,Dividend Payment
2016-05-02,CFG,DIVIDEND,0.12,328,39.36,1229.5942286720342,,39.36,39.36,Dividend Payment
2016-05-23,NTAP,SELL,19.30065139579773,241,4651.456986387253,5881.051215059288,-332.8137401857374,43.379999999999995,-289.4337401857374,45 days post-div
2016-05-23,IRM,BUY,20.89645031261444,250,5224.11257815361,656.9386369056774,,0.0,,Div in 10 days
2016-06-02,IRM,DIVIDEND,0.485,250,121.25,778.1886369056774,,121.25,121.25,Dividend Payment
2016-06-02,CLX,SELL,97.77715965652466,52,5084.4123021392825,5862.60093904496,177.47718106079157,40.04,217.51718106079156,45 days post-div
2016-06-02,DIS,BUY,91.03935526657104,59,5371.3219607276915,491.2789783172684,,0.0,,Div in 35 days
2016-06-09,PLD,DIVIDEND,0.42,157,65.94,557.2189783172685,,65.94,65.94,Dividend Payment
2016-06-15,HBAN,DIVIDEND,0.07,773,54.11000000000001,611.3289783172685,,54.11000000000001,54.11000000000001,Dividend Payment
2016-06-28,NUE,DIVIDEND,0.375,138,51.75,663.0789783172685,,51.75,51.75,Dividend Payment
2016-06-28,MDLZ,DIVIDEND,0.17,148,25.16,688.2389783172684,,25.16,25.16,Dividend Payment
2016-06-28,ITW,DIVIDEND,0.55,64,35.2,723.4389783172685,,35.2,35.2,Dividend Payment
2016-06-28,WTW,DIVIDEND,0.48,47,22.56,745.9989783172684,,22.56,22.56,Dividend Payment
2016-06-28,SYK,DIVIDEND,0.38,53,20.14,766.1389783172684,,20.14,20.14,Dividend Payment
2016-06-29,GL,DIVIDEND,0.14,99,13.860000000000001,779.9989783172684,,13.860000000000001,13.860000000000001,Dividend Payment
2016-06-29,SYY,DIVIDEND,0.31,141,43.71,823.7089783172685,,43.71,43.71,Dividend Payment
2016-07-01,DGX,DIVIDEND,0.4,87,34.800000000000004,858.5089783172684,,34.800000000000004,34.800000000000004,Dividend Payment
2016-07-06,MA,DIVIDEND,0.19,59,11.21,869.7189783172685,,11.21,11.21,Dividend Payment
2016-07-06,ROP,DIVIDEND,0.3,30,9.0,878.7189783172685,,9.0,9.0,Dividend Payment
2016-07-07,DRI,DIVIDEND,0.56,98,54.88,933.5989783172685,,54.88,54.88,Dividend Payment
2016-07-07,DIS,DIVIDEND,0.71,59,41.89,975.4889783172684,,41.89,41.89,Dividend Payment
2016-07-18,IRM,SELL,23.335723152160647,250,5833.930788040162,6809.4197663574305,609.8182098865515,121.25,731.0682098865515,45 days post-div
2016-07-18,BA,BUY,121.8178364868164,45,5481.802641906738,1327.6171244506922,,0.0,,Div in 23 days
2016-07-19,CVS,DIVIDEND,0.425,66,28.05,1355.6671244506922,,28.05,28.05,Dividend Payment
2016-07-25,PLD,SELL,40.496137371063234,157,6357.893567256928,7713.56069170762,1360.1120412664418,131.88,1491.992041266442,45 days post-div
2016-07-25,LNT,BUY,29.744440898895263,184,5472.977125396728,2240.583566310892,,0.0,,Div in 2 days
2016-07-27,MS,DIVIDEND,0.2,255,51.0,2291.583566310892,,51.0,51.0,Dividend Payment
2016-07-27,LNT,DIVIDEND,0.294,184,54.096,2345.679566310892,,54.096,54.096,Dividend Payment
2016-07-28,C,DIVIDEND,0.16,157,25.12,2370.799566310892,,25.12,25.12,Dividend Payment
2016-07-28,TXN,DIVIDEND,0.38,118,44.84,2415.639566310892,,44.84,44.84,Dividend Payment
2016-08-01,CFG,DIVIDEND,0.12,328,39.36,2454.999566310892,,39.36,39.36,Dividend Payment
2016-08-10,BA,DIVIDEND,1.09,45,49.050000000000004,2504.0495663108923,,49.050000000000004,49.050000000000004,Dividend Payment
2016-08-15,GL,SELL,57.48266549301148,99,5690.783883808137,8194.83345011903,706.710557750703,27.720000000000002,734.430557750703,45 days post-div
2016-08-15,SYY,SELL,40.871228204727174,141,5762.843176866531,13957.676626985562,764.8331717491158,87.42,852.2531717491157,45 days post-div
2016-08-15,IRM,BUY,21.817870265007016,255,5563.55691757679,8394.119709408773,,0.0,,Div in 24 days
2016-08-15,BLK,BUY,291.40857092285154,19,5536.762847534179,2857.356861874594,,0.0,,Div in 16 days
2016-08-22,DIS,SELL,88.96431517028809,59,5248.894595046997,8106.251456921591,-122.4273656806939,41.89,-80.5373656806939,45 days post-div
2016-08-22,PLD,BUY,41.00329474639892,136,5576.448085510254,2529.803371411337,,0.0,,Div in 24 days
2016-08-31,BLK,DIVIDEND,2.29,19,43.51,2573.3133714113374,,43.51,43.51,Dividend Payment
2016-09-08,IRM,DIVIDEND,0.485,255,123.675,2696.9883714113375,,123.675,123.675,Dividend Payment
2016-09-12,C,SELL,35.705671863555914,157,5605.790482578278,8302.778853989616,618.9468797864927,32.97,651.9168797864927,45 days post-div
2016-09-12,TXN,SELL,52.19624752426148,118,6159.157207862854,14461.93606185247,1171.4824115600595,89.68,1261.1624115600596,45 days post-div
2016-09-12,MAR,BUY,62.977548477172846,88,5542.02426599121,8919.911795861259,,0.0,,Div in 9 days
2016-09-12,NTAP,BUY,27.69555396080017,201,5566.806346120834,3353.105449740425,,0.0,,Div in 23 days
2016-09-15,HBAN,DIVIDEND,0.07,773,54.11000000000001,3407.215449740425,,54.11000000000001,54.11000000000001,Dividend Payment
2016-09-15,PLD,DIVIDEND,0.42,136,57.12,3464.335449740425,,57.12,57.12,Dividend Payment
2016-09-21,MAR,DIVIDEND,0.3,88,26.4,3490.735449740425,,26.4,26.4,Dividend Payment
2016-09-28,NUE,DIVIDEND,0.375,138,51.75,3542.485449740425,,51.75,51.75,Dividend Payment
2016-09-28,MDLZ,DIVIDEND,0.19,148,28.12,3570.605449740425,,28.12,28.12,Dividend Payment
2016-09-28,ITW,DIVIDEND,0.65,64,41.6,3612.2054497404247,,41.6,41.6,Dividend Payment
2016-09-28,WTW,DIVIDEND,0.48,47,22.56,3634.7654497404246,,22.56,22.56,Dividend Payment
2016-09-28,SYK,DIVIDEND,0.38,53,20.14,3654.9054497404245,,20.14,20.14,Dividend Payment
2016-09-30,DGX,DIVIDEND,0.4,87,34.800000000000004,3689.7054497404247,,34.800000000000004,34.800000000000004,Dividend Payment
2016-10-05,DRI,DIVIDEND,0.56,98,54.88,3744.585449740425,,54.88,54.88,Dividend Payment
2016-10-05,MA,DIVIDEND,0.19,59,11.21,3755.795449740425,,11.21,11.21,Dividend Payment
2016-10-05,ROP,DIVIDEND,0.3,30,9.0,3764.795449740425,,9.0,9.0,Dividend Payment
2016-10-05,NTAP,DIVIDEND,0.19,201,38.19,3802.985449740425,,38.19,38.19,Dividend Payment
2016-10-17,BLK,SELL,280.14989404296875,19,5322.847986816407,9125.833436556832,-213.9148607177729,43.51,-170.40486071777292,45 days post-div
2016-10-17,XOM,BUY,56.958747734069824,96,5468.039782470703,3657.7936540861283,,0.0,,Div in 22 days
2016-10-20,CVS,DIVIDEND,0.425,66,28.05,3685.8436540861285,,28.05,28.05,Dividend Payment
2016-10-27,MS,DIVIDEND,0.2,255,51.0,3736.8436540861285,,51.0,51.0,Dividend Payment
2016-10-27,LNT,DIVIDEND,0.294,184,54.096,3790.9396540861285,,54.096,54.096,Dividend Payment
2016-10-31,CFG,DIVIDEND,0.12,328,39.36,3830.2996540861286,,39.36,39.36,Dividend Payment
2016-11-08,BA,DIVIDEND,1.09,45,49.050000000000004,3879.349654086129,,49.050000000000004,49.050000000000004,Dividend Payment
2016-11-08,XOM,DIVIDEND,0.75,96,72.0,3951.349654086129,,72.0,72.0,Dividend Payment
2016-11-14,DGX,SELL,70.72562871170044,87,6153.129697917938,10104.479352004066,1174.1159186496739,104.4,1278.515918649674,45 days post-div
2016-11-14,BLK,BUY,295.6221329498291,19,5616.820526046753,4487.658825957313,,0.0,,Div in 24 days
2016-11-21,MAR,DIVIDEND,0.3,88,26.4,4514.058825957312,,26.4,26.4,Dividend Payment
2016-12-08,BLK,DIVIDEND,2.29,19,43.51,4557.568825957313,,43.51,43.51,Dividend Payment
2016-12-13,IRM,DIVIDEND,0.55,255,140.25,4697.818825957313,,140.25,140.25,Dividend Payment
2016-12-15,PLD,DIVIDEND,0.42,136,57.12,4754.9388259573125,,57.12,57.12,Dividend Payment
2016-12-16,HBAN,DIVIDEND,0.08,773,61.84,4816.778825957313,,61.84,61.84,Dividend Payment
2016-12-28,NUE,DIVIDEND,0.378,138,52.164,4868.942825957312,,52.164,52.164,Dividend Payment
2016-12-28,MDLZ,DIVIDEND,0.19,148,28.12,4897.062825957312,,28.12,28.12,Dividend Payment
2016-12-28,ITW,DIVIDEND,0.65,64,41.6,4938.662825957313,,41.6,41.6,Dividend Payment
2016-12-28,WTW,DIVIDEND,0.48,47,22.56,4961.222825957313,,22.56,22.56,Dividend Payment
2016-12-28,SYK,DIVIDEND,0.425,53,22.525,4983.747825957313,,22.525,22.525,Dividend Payment
2017-01-04,NTAP,DIVIDEND,0.19,201,38.19,5021.937825957312,,38.19,38.19,Dividend Payment
2017-01-05,MA,DIVIDEND,0.22,59,12.98,5034.917825957312,,12.98,12.98,Dividend Payment
2017-01-05,ROP,DIVIDEND,0.35,30,10.5,5045.417825957312,,10.5,10.5,Dividend Payment
2017-01-06,DRI,DIVIDEND,0.56,98,54.88,5100.297825957312,,54.88,54.88,Dividend Payment
2017-01-20,CVS,DIVIDEND,0.5,66,33.0,5133.297825957312,,33.0,33.0,Dividend Payment
2017-01-27,MS,DIVIDEND,0.2,255,51.0,5184.297825957312,,51.0,51.0,Dividend Payment
2017-01-27,LNT,DIVIDEND,0.315,184,57.96,5242.257825957312,,57.96,57.96,Dividend Payment
2017-01-31,CFG,DIVIDEND,0.14,328,45.92,5288.177825957312,,45.92,45.92,Dividend Payment
2017-02-08,BA,DIVIDEND,1.42,45,63.9,5352.077825957312,,63.9,63.9,Dividend Payment
2017-02-08,XOM,DIVIDEND,0.75,96,72.0,5424.077825957312,,72.0,72.0,Dividend Payment
2017-02-22,MAR,DIVIDEND,0.3,88,26.4,5450.477825957311,,26.4,26.4,Dividend Payment
2017-03-02,BLK,DIVIDEND,2.5,19,47.5,5497.977825957311,,47.5,47.5,Dividend Payment
2017-03-13,IRM,DIVIDEND,0.55,255,140.25,5638.227825957311,,140.25,140.25,Dividend Payment
2017-03-13,PLD,DIVIDEND,0.44,136,59.84,5698.0678259573115,,59.84,59.84,Dividend Payment
2017-03-16,HBAN,DIVIDEND,0.08,773,61.84,5759.907825957312,,61.84,61.84,Dividend Payment
2017-03-29,NUE,DIVIDEND,0.378,138,52.164,5812.071825957311,,52.164,52.164,Dividend Payment
2017-03-29,MDLZ,DIVIDEND,0.19,148,28.12,5840.191825957311,,28.12,28.12,Dividend Payment
2017-03-29,ITW,DIVIDEND,0.65,64,41.6,5881.791825957312,,41.6,41.6,Dividend Payment
2017-03-29,WTW,DIVIDEND,0.53,47,24.91,5906.7018259573115,,24.91,24.91,Dividend Payment
2017-03-29,SYK,DIVIDEND,0.425,53,22.525,5929.226825957311,,22.525,22.525,Dividend Payment
2017-04-05,MA,DIVIDEND,0.22,59,12.98,5942.206825957311,,12.98,12.98,Dividend Payment
2017-04-05,ROP,DIVIDEND,0.35,30,10.5,5952.706825957311,,10.5,10.5,Dividend Payment
2017-04-05,NTAP,DIVIDEND,0.19,201,38.19,5990.89682595731,,38.19,38.19,Dividend Payment
2017-04-06,DRI,DIVIDEND,0.56,98,54.88,6045.77682595731,,54.88,54.88,Dividend Payment
2017-04-19,CVS,DIVIDEND,0.5,66,33.0,6078.77682595731,,33.0,33.0,Dividend Payment
2017-04-26,LNT,DIVIDEND,0.315,184,57.96,6136.73682595731,,57.96,57.96,Dividend Payment
2017-04-27,MS,DIVIDEND,0.2,255,51.0,6187.73682595731,,51.0,51.0,Dividend Payment
2017-05-01,CFG,DIVIDEND,0.14,328,45.92,6233.6568259573105,,45.92,45.92,Dividend Payment
2017-05-10,BA,DIVIDEND,1.42,45,63.9,6297.55682595731,,63.9,63.9,Dividend Payment
2017-05-10,XOM,DIVIDEND,0.77,96,73.92,6371.47682595731,,73.92,73.92,Dividend Payment
2017-05-17,MAR,DIVIDEND,0.33,88,29.040000000000003,6400.51682595731,,29.040000000000003,29.040000000000003,Dividend Payment
2017-06-01,BLK,DIVIDEND,2.5,19,47.5,6448.01682595731,,47.5,47.5,Dividend Payment
2017-06-12,PLD,DIVIDEND,0.44,136,59.84,6507.85682595731,,59.84,59.84,Dividend Payment
2017-06-13,IRM,DIVIDEND,0.55,255,140.25,6648.10682595731,,140.25,140.25,Dividend Payment
2017-06-15,HBAN,DIVIDEND,0.08,773,61.84,6709.9468259573105,,61.84,61.84,Dividend Payment
2017-06-28,NUE,DIVIDEND,0.378,138,52.164,6762.11082595731,,52.164,52.164,Dividend Payment
2017-06-28,MDLZ,DIVIDEND,0.19,148,28.12,6790.23082595731,,28.12,28.12,Dividend Payment
2017-06-28,ITW,DIVIDEND,0.65,64,41.6,6831.8308259573105,,41.6,41.6,Dividend Payment
2017-06-28,WTW,DIVIDEND,0.53,47,24.91,6856.74082595731,,24.91,24.91,Dividend Payment
2017-06-28,SYK,DIVIDEND,0.425,53,22.525,6879.26582595731,,22.525,22.525,Dividend Payment
2017-07-05,MA,DIVIDEND,0.22,59,12.98,6892.2458259573095,,12.98,12.98,Dividend Payment
2017-07-05,ROP,DIVIDEND,0.35,30,10.5,6902.7458259573095,,10.5,10.5,Dividend Payment
2017-07-05,NTAP,DIVIDEND,0.2,201,40.2,6942.945825957309,,40.2,40.2,Dividend Payment
2017-07-06,DRI,DIVIDEND,0.63,98,61.74,7004.685825957309,,61.74,61.74,Dividend Payment
2017-07-20,CVS,DIVIDEND,0.5,66,33.0,7037.685825957309,,33.0,33.0,Dividend Payment
2017-07-27,MS,DIVIDEND,0.25,255,63.75,7101.435825957309,,63.75,63.75,Dividend Payment
2017-07-27,LNT,DIVIDEND,0.315,184,57.96,7159.395825957309,,57.96,57.96,Dividend Payment
2017-07-31,CFG,DIVIDEND,0.18,328,59.04,7218.435825957309,,59.04,59.04,Dividend Payment
2017-08-09,BA,DIVIDEND,1.42,45,63.9,7282.335825957309,,63.9,63.9,Dividend Payment
2017-08-10,XOM,DIVIDEND,0.77,96,73.92,7356.255825957309,,73.92,73.92,Dividend Payment
2017-08-22,MAR,DIVIDEND,0.33,88,29.040000000000003,7385.295825957309,,29.040000000000003,29.040000000000003,Dividend Payment
2017-08-31,BLK,DIVIDEND,2.5,19,47.5,7432.795825957309,,47.5,47.5,Dividend Payment
2017-09-14,IRM,DIVIDEND,0.55,255,140.25,7573.045825957309,,140.25,140.25,Dividend Payment
2017-09-15,HBAN,DIVIDEND,0.08,773,61.84,7634.885825957309,,61.84,61.84,Dividend Payment
2017-09-15,PLD,DIVIDEND,0.44,136,59.84,7694.725825957309,,59.84,59.84,Dividend Payment
2017-09-28,NUE,DIVIDEND,0.378,138,52.164,7746.889825957309,,52.164,52.164,Dividend Payment
2017-09-28,MDLZ,DIVIDEND,0.22,148,32.56,7779.449825957309,,32.56,32.56,Dividend Payment
2017-09-28,ITW,DIVIDEND,0.78,64,49.92,7829.369825957309,,49.92,49.92,Dividend Payment
2017-09-28,WTW,DIVIDEND,0.53,47,24.91,7854.279825957309,,24.91,24.91,Dividend Payment
2017-09-28,SYK,DIVIDEND,0.425,53,22.525,7876.804825957309,,22.525,22.525,Dividend Payment
2017-10-05,MA,DIVIDEND,0.22,59,12.98,7889.784825957308,,12.98,12.98,Dividend Payment
2017-10-05,ROP,DIVIDEND,0.35,30,10.5,7900.284825957308,,10.5,10.5,Dividend Payment
2017-10-05,NTAP,DIVIDEND,0.2,201,40.2,7940.484825957308,,40.2,40.2,Dividend Payment
2017-10-06,DRI,DIVIDEND,0.63,98,61.74,8002.224825957308,,61.74,61.74,Dividend Payment
2017-10-23,CVS,DIVIDEND,0.5,66,33.0,8035.224825957308,,33.0,33.0,Dividend Payment
2017-10-30,MS,DIVIDEND,0.25,255,63.75,8098.974825957308,,63.75,63.75,Dividend Payment
2017-10-30,LNT,DIVIDEND,0.315,184,57.96,8156.934825957308,,57.96,57.96,Dividend Payment
2017-10-31,CFG,DIVIDEND,0.18,328,59.04,8215.974825957308,,59.04,59.04,Dividend Payment
2017-11-09,BA,DIVIDEND,1.42,45,63.9,8279.874825957308,,63.9,63.9,Dividend Payment
2017-11-10,XOM,DIVIDEND,0.77,96,73.92,8353.794825957308,,73.92,73.92,Dividend Payment
2017-11-21,MAR,DIVIDEND,0.33,88,29.040000000000003,8382.834825957309,,29.040000000000003,29.040000000000003,Dividend Payment
2017-12-01,BLK,DIVIDEND,2.5,19,47.5,8430.334825957309,,47.5,47.5,Dividend Payment
2017-12-14,IRM,DIVIDEND,0.588,255,149.94,8580.274825957309,,149.94,149.94,Dividend Payment
2017-12-15,HBAN,DIVIDEND,0.11,773,85.03,8665.30482595731,,85.03,85.03,Dividend Payment
2017-12-15,PLD,DIVIDEND,0.44,136,59.84,8725.14482595731,,59.84,59.84,Dividend Payment
2017-12-28,NUE,DIVIDEND,0.38,138,52.44,8777.58482595731,,52.44,52.44,Dividend Payment
2017-12-28,MDLZ,DIVIDEND,0.22,148,32.56,8810.14482595731,,32.56,32.56,Dividend Payment
2017-12-28,ITW,DIVIDEND,0.78,64,49.92,8860.06482595731,,49.92,49.92,Dividend Payment
2017-12-28,WTW,DIVIDEND,0.53,47,24.91,8884.97482595731,,24.91,24.91,Dividend Payment
2017-12-28,SYK,DIVIDEND,0.47,53,24.91,8909.88482595731,,24.91,24.91,Dividend Payment
